UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   471   9.175   1.650   2.001
 0002   471  11.266   0.065  -0.371
 0003   471  10.790   1.775   2.276
 0004   471  11.068   1.052   0.822
 0005   471  10.492   1.688   2.082
 0006   471  11.003   1.506   1.623
 0007   471  11.670   0.297   0.169
 0008   471  11.744   0.172   0.114
 0009   471  11.724   0.586   0.186
 0010   471  11.946   0.075  -0.157
 0011   471  11.541   1.585   1.777
 0012   471  11.570   1.252   1.147
 0013   471  12.497   0.273   0.164
 0014   471  12.077   0.441  -0.093
 0015   471  11.939   1.085   0.546
 0016   471  11.531   1.699   1.950
 0017   471  12.365   0.376   0.290
 0018   471  11.855   1.567   1.761
 0019   471  12.333   0.574   0.088
 0020   471  12.430   0.314   0.146
 0021   471  12.414   0.348   0.353
 0022   471  12.688   0.346   0.075
 0023   471  12.502   0.719   0.274
 0024   471  12.568   0.662   0.208
 0025   471  12.776   0.477   0.068
 0026   471  12.349   1.404   1.906
 0027   471  12.969   0.519   0.127
 0028   471  12.641   1.141   0.952
 0029   471  12.082   1.862   1.883
 0030   471  12.739   0.229   0.122
 0031   471  12.503   1.350   1.172
 0032   471  12.780   0.275   0.223
 0033   471  13.015   0.607   0.117
 0034   471  12.472   1.107   0.985
 0035   471  13.306   0.217   0.099
 0036   471  12.677   1.194   1.102
 0037   471  13.239   0.497  -0.011
 0038   471  13.189   0.461   0.001
 0039   471  13.049   0.502   0.106
 0040   471  13.192   0.517   0.245
 0041   471  13.088   0.360   0.262
 0042   471  13.298   0.559   0.045
 0043   471  13.401   0.410   0.079
 0044   471  13.228   0.645   0.351
 0045   471  13.205   0.349   0.276
 0046   471  13.294   0.402   0.384
 0047   471  13.346   0.540   0.128
 0048   471  13.456   0.597   0.084
 0049   471  13.432   0.504   0.167
 0050   471  13.421   0.609   0.080
 0051   471  13.034   1.247   0.988
 0052   471  13.268   1.189   1.026
 0053   471  13.518   0.548   0.217
 0054   471  13.437   0.924   0.408
 0055   471  13.752   0.523   0.038
 0056   471  13.664   0.498   0.080
 0057   471  13.554   0.856   0.444
 0058   471  13.460   0.922   0.622
 0059   471  13.588   0.640   0.113
 0060   471  13.618   0.653   0.405
 0061   471  13.710   0.476   0.307
 0062   471  13.621   0.518   0.300
 0063   471  13.846   0.470   0.010
 0064   471  13.701   0.443   0.354
 0065   471  13.722   0.646   0.197
 0066   471  13.628   1.510   1.246
 0067   471  13.807   0.675   0.171
 0068   471  13.662   1.051   0.676
 0069   471  13.384   1.272   1.035
 0070   471  13.512   1.195   0.966
 0071   471  14.042   0.568   0.168
 0072   471  13.942   0.637   0.203
 0073   471  14.019   0.589   0.075
 0074   471  13.387   1.478   1.515
 0075   471  13.893   0.608   0.182
 0076   471  13.152   1.897   2.327
 0077   471  14.153   0.562  -0.002
 0078   471  13.956   0.602   0.139
 0079   471  14.061   0.614   0.142
 0080   471  13.957   0.692   0.220
 0081   471  13.920   0.631   0.250
 0082   471  13.937   0.788   0.384
