UBV CCD observations

  No    Ref    V       B-V     U-B

 0085    86  11.555   0.516  -0.391
 0322    86  12.121   0.505  -0.357
 0495    86  12.533   0.656  -0.243
 0489    86  12.572   0.651  -0.251
 0126    86  12.601   0.589  -0.286
 0041    86  12.806   2.334   3.236
 0557    86  12.836   0.556  -0.347
 0093    86  13.105   1.014   0.442
 0324    86  13.370   0.906   0.078
 0669    86  13.409   0.747   0.103
 0610    86  13.434   1.599   0.999
 0290    86  13.474   1.008   0.713
 0179    86  13.569   0.827   0.659
 0342    86  14.129   0.800   0.027
 0117    86  14.210   0.600  -0.140
 0190    86  14.236   0.663   0.040
 0677    86  14.319   0.622  -0.005
 0450    86  14.424   0.785   0.072
 0325    86  14.547   0.673   0.027
 0674    86  14.554   0.893   0.377
 0005    86  14.615   1.824         
 0129    86  14.616   1.039   0.560
 0398    86  14.625   0.782   0.030
 0271    86  14.636   0.670   0.087
 0312    86  14.750   0.725   0.133
 0706    86  14.805   0.837   0.005
 0581    86  14.815   1.184   0.681
 0166    86  14.977   0.791   0.339
 0501    86  15.085   1.359   0.784
 0316    86  15.127   0.775   0.567
 0353    86  15.135   0.769   0.263
 0606    86  15.148   0.946   0.240
 0343    86  15.172   0.743   0.307
 0372    86  15.246   0.819   0.301
 0058    86  15.253   0.794   0.549
 0363    86  15.284   0.711   0.423
 0459    86  15.335   1.677  -0.023
 0018    86  15.353   0.691   0.563
 0373    86  15.398   1.125   0.402
 0511    86  15.433   0.845   0.418
 0014    86  15.449   1.006   0.350
 0232    86  15.478   0.739   0.344
 0310    86  15.504   2.149         
 0519    86  15.504   0.813   0.380
 0135    86  15.508   1.381   0.929
 0158    86  15.573   1.127   0.342
 0487    86  15.588   1.190   0.435
 0430    86  15.609   0.909   0.421
 0396    86  15.624   0.741   0.489
 0259    86  15.640   0.792   0.510
 0297    86  15.648   0.799   0.512
 0028    86  15.649   0.670   0.536
 0078    86  15.653   0.845   0.631
 0300    86  15.684   1.106   0.452
 0596    86  15.709   1.167   0.512
 0366    86  15.753   0.936   0.611
 0667    86  15.813   1.176   0.370
 0395    86  15.835   0.832   0.598
 0307    86  15.846   0.865   0.536
 0211    86  15.873   0.825   0.482
 0119    86  15.897   1.305   0.500
 0709    86  15.906   1.225   0.484
 0186    86  15.919   0.944   0.722
 0261    86  15.954   1.384   1.046
 0304    86  15.962   0.846   0.545
 0637    86  15.974   0.755   0.359
 0452    86  16.029   0.796   0.637
 0302    86  16.052   1.756   1.432
 0464    86  16.089   0.946   0.655
 0702    86  16.103   1.290   0.693
 0003    86  16.106   1.367         
 0384    86  16.151   1.128   0.708
 0269    86  16.156   1.055   0.761
 0204    86  16.169   2.012   1.800
 0512    86  16.193   1.279   0.552
