UBV CCD observations

  No    Ref    V       B-V     U-B

 0002   281  11.358   0.339  -0.770
 0003   281  11.364   0.366  -0.833
 0004   281   9.737   0.025  -0.152
 0005   281   9.351  -0.003  -0.596
 0008   281  10.798   0.017  -0.264
 0009   281  10.258   0.332  -0.842
 0010   281  11.041   0.122   0.091
 0014   281  11.501   0.316   0.207
 0015   281  11.941   0.227   0.196
 0019   281  10.105   3.634         
 0021   281   9.828   0.851   0.435
 1013   281  12.014   0.249  -0.315
 1016   281  11.753   0.057  -0.436
 1018   281  12.416   0.411  -0.514
 1019   281  12.177   0.356  -0.559
 1020   281  12.293   0.523  -0.044
 1021   281  12.727   0.127  -0.356
 1022   281  12.776   0.342  -0.583
 1023   281  12.383   0.348  -0.729
 1024   281  12.736   0.154   0.091
 1025   281  12.483   0.769         
 1026   281  12.301   1.435   1.012
 1027   281  12.736   0.382  -0.700
 1028   281  12.677   0.581  -0.013
 1029   281  12.740   0.091  -0.045
 1030   281  12.518   2.154   2.557
 1031   281  12.573   0.984   0.643
 1032   281  12.766   0.122  -0.164
 1034   281  12.786   0.210   0.188
 1036   281  12.879   0.345  -0.083
 1037   281  12.944   0.181  -0.418
 1038   281  12.722   1.043   0.799
 1039   281  12.307   1.349   1.428
 1040   281  12.851   0.947   0.472
 1041   281  12.832   1.080   0.715
 1042   281  12.819   1.084   0.768
 1043   281  12.821   1.743   2.138
 1044   281  13.118   0.162   0.064
 1045   281  12.874   1.025   0.660
 1046   281  13.261   0.198   0.120
 1047   281  13.216   0.738   0.179
 1048   281  13.187   0.130  -0.007
 1049   281  12.765   1.384   1.478
 1050   281  13.002   1.472   1.732
 1051   281  13.556   0.506   0.006
 1052   281  12.377   1.126   0.847
 1054   281  13.576   0.251  -0.288
 1055   281  13.458   0.538  -0.018
 1056   281  13.963   0.365  -0.455
 1057   281  13.495   0.576  -0.076
 1058   281  13.626   0.601   0.026
 1059   281  13.789   0.621  -0.031
 1060   281  14.006   0.202   0.205
 1061   281  13.630   0.250   0.244
 1062   281  13.666   0.193   0.156
 1063   281  13.914   0.564   0.070
 1064   281  13.667   0.392   0.335
 1065   281  13.689   0.290   0.212
 1066   281  13.815   0.193   0.115
 1067   281  13.844   0.669   0.128
 1068   281  13.805   0.449   0.427
 1069   281  13.652   1.271   1.237
 1071   281  14.028   0.477   0.116
 1072   281  13.755   1.190   0.954
 1073   281  13.990   0.652   0.001
 1074   281  13.976   0.492   0.250
