UBV CCD observations

  No    Ref    V       B-V     U-B

 0005   155   9.990   1.230   1.150
 0006   155  15.060   1.690   1.560
 0007   155  14.330   1.600         
 0008   155  14.390   0.390   0.150
 0010   155  11.030   0.230  -0.500
 0011   155  12.390   0.290  -0.310
 0012   155  10.670   0.450   0.140
 0013   155  13.070   0.300  -0.180
 0014   155  14.050   0.350   0.070
 0015   155  10.710   0.300  -0.540
 0016   155  11.850   0.360   0.160
 0017   155  13.030   1.420   1.290
 0035   155  13.330   0.280   0.080
 0036   155  13.710   1.440   1.230
 0038   155  12.120   0.280   0.200
 0042   155  11.790   0.390   0.300
 0043   155  13.770   0.320   0.160
 0044   155  11.570   2.240   1.120
 0045   155  11.800   0.210  -0.280
 0046   155  13.550   0.630   0.390
 0047   155  13.580   0.520   0.420
 0048   155  11.490   1.080   0.820
 0049   155  11.100   0.190         
 0050   155  11.430   0.200  -0.320
 0051   155  14.880   0.760   0.220
 0053   155  13.330   1.620   1.410
 0054   155  15.140   0.510   0.440
 0055   155  14.900   0.500   0.390
 0056   155  14.260   1.580   1.350
 0057   155  14.910   0.690   0.190
 0058   155  14.120   1.530   1.730
 0059   155  12.950   1.280   1.030
 0060   155  14.560   0.790   0.320
 0061   155  14.310   1.520   1.420
 0062   155  14.070   1.660   3.040
 0064   155  14.670   0.430   0.260
 0065   155  13.660   0.320   0.020
 0066   155  13.700   1.420   1.850
 0067   155  12.340   0.470   0.250
 0068   155  13.870   0.630   0.180
 0069   155  12.630   1.390   1.170
 0070   155  11.360   0.290  -0.410
 0072   155  14.840   0.500   0.320
 0074   155  14.280   1.840   2.280
 0088   155  14.380   0.390   0.160
 0089   155  11.910   0.440         
 0096   155  14.340   0.500   0.170
 0097   155  14.000   0.350   0.010
 0098   155  14.150   0.660   0.220
 0099   155  14.170   0.510   0.120
 0100   155  13.270   0.290  -0.220
 0101   155  13.240   0.300  -0.220
 0102   155  11.560   2.000   3.140
 0103   155  12.000   0.240  -0.510
 0105   155  12.220   0.360   0.180
 1001   155   9.980   0.080  -0.310
 1003   155  10.210   0.250  -0.500
 1016   155  11.910   0.380   0.280
 1021   155  12.260   0.790   0.230
 1024   155  12.410   0.500   0.320
 1025   155  12.440   0.280  -0.290
 1026   155  12.570   0.200  -0.190
 1028   155  12.660   0.250  -0.350
 1029   155  12.850   0.660   0.140
 1032   155  13.060   0.330   0.030
 1034   155  13.160   0.570   0.080
 1035   155  13.230   1.460   1.660
 1040   155  13.390   0.340  -0.040
 1041   155  13.430   0.380   0.160
 1042   155  13.490   1.300   0.850
 1043   155  13.540   0.430  -0.030
 1046   155  13.590   0.320  -0.010
 1047   155  13.600   2.210   0.860
 1051   155  13.720   0.400   0.130
 1052   155  13.730   0.290  -0.050
 1054   155  13.810   0.740   0.250
 1056   155  13.880   0.620   0.130
 1057   155  13.940   0.470   0.410
 1059   155  14.030   0.390   0.200
 1060   155  14.040   1.970   1.770
 1062   155  14.050   1.860   1.530
 1064   155  14.090   0.420   0.330
 1068   155  14.210   0.370   0.200
 1069   155  14.230   0.920   0.670
 1072   155  14.280   1.590   1.210
 1073   155  14.290   0.410   0.280
 1075   155  14.320   0.380   0.210
 1077   155  14.340   1.870   1.470
 1079   155  14.370   0.420   0.230
 1082   155  14.410   0.570   0.270
 1083   155  14.420   1.450   1.260
 1084   155  14.450   0.450   0.350
 1085   155  14.460   0.530   0.250
 1086   155  14.510   0.470   0.250
 1087   155  14.520   0.420   0.250
 1088   155  14.530   2.110   1.280
 1089   155  14.530   0.380   0.360
 1090   155  14.550   1.820   1.140
 1092   155  14.570   0.400   0.290
 1093   155  14.590   0.920   0.580
 1094   155  14.600   0.920   0.270
 1095   155  14.620   0.570   0.260
 1096   155  14.650   1.650   1.520
 1098   155  14.670   0.850   0.410
 1099   155  14.670   1.610   1.640
 1100   155  14.680   0.560   0.420
 1101   155  14.700   0.850   0.510
 1102   155  14.700   0.540   0.350
 1103   155  14.710   0.460   0.400
 1104   155  14.740   0.480   0.390
 1105   155  14.750   0.730   0.050
 1106   155  14.770   2.030   1.180
 1107   155  14.800   0.430   0.260
 1108   155  14.810   0.950   0.300
 1110   155  14.840   1.830   1.540
 1111   155  14.840   0.520   0.360
 1112   155  14.850   1.170   0.490
 1113   155  14.860   0.850   0.460
 1114   155  14.860   1.600   1.330
 1118   155  14.930   1.410   1.120
 1119   155  14.930   0.760   0.210
 1120   155  14.940   1.550   1.650
 1121   155  14.940   0.870   0.230
 1122   155  14.950   1.050   0.970
 1123   155  14.960   1.510   1.060
 1124   155  14.960   0.510   0.350
 1125   155  14.970   0.890   0.570
 1126   155  15.020   1.660   1.130
 1127   155  15.040   0.800   0.120
 1129   155  15.060   0.820   0.280
 1130   155  15.070   0.710   0.250
 1131   155  15.070   0.730   0.170
 1132   155  15.100   0.640   0.260
 1133   155  15.110   1.340   1.120
 1134   155  15.120   1.680   1.180
 1135   155  15.120   1.740   1.880
 1137   155  15.160   1.000   0.310
 1138   155  15.170   0.590   0.350
 1139   155  15.180   0.920   0.520
 1140   155  15.180   1.980   1.420
 1141   155  15.200   0.620   0.470
 1142   155  15.210   0.700   0.350
 1143   155  15.280   1.020   0.570
