UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   479  15.914   0.722   0.325
 0002   479  18.616   1.166   0.624
 0003   479  17.009   0.981   0.222
 0004   479  17.418   0.970   0.437
 0005   479  16.867   1.504   0.779
 0006   479  14.605   0.758   0.135
 0007   479  15.746   0.822   0.047
 0008   479  17.654   1.023   0.488
 0009   479  17.109   0.950   0.296
 0010   479  16.821   1.147   0.419
 0011   479  16.791   1.022   0.257
 0012   479  15.508   0.900   0.239
 0013   479  17.118   1.046   0.328
 0014   479  15.289   0.804   0.125
 0015   479  15.620   1.979   0.562
 0016   479  17.424   0.954   0.447
 0017   479  17.381   0.896   0.289
 0018   479  16.246   1.662   0.697
 0019   479  18.111   1.100  -0.004
 0020   479  17.083   0.983   0.302
 0021   479  17.163   1.082   0.331
 0022   479  17.747   0.988   0.292
 0023   479  15.678   1.505   0.700
 0024   479  17.199   0.938   0.259
 0025   479  17.563   0.976   0.686
 0026   479  17.776   0.999   0.550
 0027   479  18.351   0.871   1.113
 0028   479  15.626   1.518   0.744
 0029   479  15.359   0.560   0.483
 0030   479  18.448   1.058   0.212
 0031   479  16.113   1.497   0.647
 0032   479  16.451   0.998   0.266
 0033   479  17.669   0.970   0.245
 0034   479  15.857   1.083   0.753
 0035   479  17.072   0.699   0.550
 0036   479  16.160   0.705   0.308
 0037   479  18.161   1.086   0.517
 0038   479  18.549   0.963   0.288
 0039   479  17.908   1.032   0.227
 0040   479  15.060   0.474   0.169
 0041   479  18.140   1.024   0.229
 0042   479  15.770   0.994   0.719
 0043   479  16.585   0.910   0.230
 0044   479  18.788   1.046   0.250
 0045   479  16.505   1.410   0.513
 0046   479  19.374   1.053   0.446
 0047   479  15.102   0.760   0.136
 0048   479  18.052   0.890   0.490
 0049   479  15.959   0.670   0.313
 0050   479  18.936   0.947   0.252
 0051   479  17.406   1.055   0.252
 0052   479  14.413   0.714   0.106
 0053   479  18.646   1.053   0.631
 0054   479  15.131   0.816   0.222
 0055   479  14.886   0.754   0.047
 0056   479  14.380   0.712   0.017
 0057   479  15.724   1.399   0.538
 0058   479  18.187   1.056   0.205
 0059   479  15.193   0.541   0.395
 0060   479  17.538   1.032   0.466
 0061   479  18.263   1.052   0.136
 0062   479  17.456   1.077   0.268
 0063   479  17.514   1.012   0.154
 0064   479  17.629   0.961   0.340
 0065   479  18.692   1.055   0.149
 0066   479  18.355   1.016   0.098
 0067   479  18.484   0.932   0.895
 0068   479  18.138   1.031   0.675
 0069   479  18.121   1.055   0.877
 0070   479  16.498   0.719   0.611
 0071   479  17.542   1.023   0.196
 0072   479  17.445   1.103   0.445
 0073   479  17.777   1.045   0.336
 0074   479  17.488   0.992   0.390
 0075   479  16.986   1.055   0.569
 0076   479  18.852   0.984   0.220
 0077   479  17.971   1.029   0.577
 0078   479  16.901   1.192   1.030
 0079   479  16.566   0.875   0.380
 0080   479  15.969   0.710   0.523
 0081   479  17.971   0.764   0.415
 0082   479  15.588   1.518   0.772
 0083   479  17.967   1.134   0.186
 0084   479  17.457   1.064   0.095
 0085   479  18.891   1.050   0.183
 0086   479  17.415   0.915   0.349
 0087   479  17.673   0.995   0.218
 0088   479  16.659   0.982   0.314
