%UBV CCD observations
%
% No    Ref    V       B-V     U-B
%
 0101   488  15.985   1.702   1.327
 0102   488  17.023   1.770   1.262
 0103   488  18.590   1.119   0.651
 0104   488  17.793   1.146   0.850
 0105   488  17.018   1.741   1.334
 0106   488  17.928   1.272   0.698
 0107   488  19.032   1.255   0.529
 0108   488  17.805   1.274   0.735
 0109   488  17.634   1.203   0.568
 0110   488  17.710   1.192   0.577
 0111   488  17.994   1.327   0.668
 0112   488  18.026   1.232   0.541
 0113   488  18.156   1.180   0.552
 0114   488  16.995   1.804   1.326
 0115   488  14.033   2.516   2.540
 0116   488  18.328   1.339   0.585
 0117   488  18.551   1.234   0.508
 0118   488  18.845   1.297         
 0119   488  18.315   1.133   0.403
 0120   488  17.053   1.745   1.117
 0121   488  19.013   1.801         
 0122   488  19.090   1.313         
 0123   488  18.281   1.312   0.640
 0124   488  16.903   1.148   0.573
 0125   488  17.027   1.688   0.999
 0126   488  18.264   1.173   1.170
 0127   488  16.963   1.768   1.216
 0128   488  17.203   1.178   0.589
 0129   488  18.207   1.138   0.540
 0130   488  17.669   1.210   0.521
 0131   488  18.333   1.171   0.527
 0132   488  17.981   1.056   0.407
 0133   488  18.923   1.162   0.446
 0134   488  18.672   1.256   0.470
 0135   488  16.405   0.965   0.247
 0136   488  16.845   1.099   0.607
 0137   488  17.561   1.101   0.543
 0138   488  17.619   1.104   0.508
 0139   488  18.454   1.187   0.575
 0140   488  17.618   1.305   0.626
 0141   488  17.414   1.082   0.638
 0142   488  17.132   1.783   1.303
 0143   488  14.847   0.651   0.259
 0144   488  16.199   1.786   1.409
 0147   488  18.038   1.155   0.477
 0148   488  13.091   1.539   1.314
 0149   488  17.480   1.111   0.577
 0150   488  18.308   1.099   0.486
 0151   488  17.241   1.109   0.628
 0152   488  16.256   1.032   0.604
 0153   488  14.486   1.778   1.447
 0154   488  17.767   1.167   0.704
 0201   488  17.290   1.579   0.923
 0202   488  18.041   1.333   0.684
 0203   488  17.819   1.154   0.647
 0204   488  18.201   1.175   0.619
 0205   488  17.868   1.228   0.693
 0206   488  18.209   1.195   0.617
 0207   488  17.298   1.189   0.766
 0208   488  17.721   1.095   0.439
 0209   488  16.941   1.124   0.576
 0210   488  17.617   1.179   0.473
 0211   488  18.622   1.323   0.628
 0212   488  17.108   1.811   1.199
 0213   488  18.036   1.269   0.826
 0214   488  18.331   1.331   0.828
 0215   488  16.336   1.836   1.426
 0216   488  18.249   1.212   0.783
 0217   488  15.644   1.971   1.722
 0218   488  17.703   1.177   0.524
 0219   488  17.548   1.139   0.602
 0220   488  16.627   1.686   1.183
 0221   488  18.653   1.169   0.482
 0222   488  19.597   1.303   0.144
 0223   488  18.141   1.111   0.496
 0224   488  17.355   1.119   0.605
 0225   488  17.580   1.324   0.617
 0226   488  18.985   1.337         
 0227   488  17.953   1.107   0.718
 0228   488  18.504   1.248   0.545
 0229   488  17.505   1.295   0.738
 0230   488  18.849   1.259   1.191
 0231   488  16.900   1.743   1.483
 0232   488  18.497   1.197   0.909
 0233   488  15.111   1.544   1.098
 0301   488  17.203   1.276   0.646
 0302   488  16.988   1.755   1.356
 0303   488  17.977   1.308   0.868
 0304   488  18.213   1.328         
 0305   488  16.834   1.593   0.958
 0306   488  17.364   1.034   0.351
 0307   488  18.328   1.168   0.556
 0308   488  17.309   1.196   0.677
 0309   488  18.539   1.231   0.726
 0310   488  17.394   1.156   0.633
 0311   488  17.451   1.101   0.457
 0312   488  17.989   1.257   0.625
 0313   488  17.540   1.230   0.613
 0314   488  18.317   1.197   0.576
 0315   488  17.998   1.152   0.576
 0316   488  19.528   1.363         
 0317   488  18.593   1.331   0.919
 0318   488  16.671   1.774   1.347
 0319   488  16.832   1.206   0.643
 0320   488  19.646   1.412         
 0321   488  18.530   1.296         
 0322   488  18.948   1.391         
 0323   488  16.672   1.011   0.447
 0324   488  18.841   1.270   0.451
 0325   488  18.878   1.112         
 0326   488  18.485   1.095         
 0327   488  17.751   1.262   0.702
 0328   488  17.573   1.358   0.789
 0329   488  17.672   1.303   0.665
 0330   488  18.731   1.224   0.596
 0331   488  18.518   1.346   0.723
 0332   488  17.531   1.267   0.790
 0333   488  18.093   1.320   0.881
 0334   488  18.345   1.274   0.700
 0335   488  18.890   1.302   0.982
 0336   488  19.330   1.428         
 0337   488  16.944   1.105   0.499
 0338   488  16.843   1.788   1.336
 0339   488  16.674   1.944   1.559
 0340   488  17.835   1.195   0.606
 0341   488  17.126   1.779   1.457
 0342   488  17.231   1.757   1.309
 0343   488  18.959   1.261   0.565
 0344   488  18.511   1.257   0.705
 0345   488  18.810   1.341   1.050
 0401   488  17.200   1.171   0.579
 0402   488  17.376   1.714   1.218
 0403   488  16.831   1.736   1.179
 0404   488  17.654   1.122   0.560
 0405   488  18.615   1.148         
 0406   488  16.679   1.744   1.158
 0407   488  16.663   0.845   0.476
 0408   488  17.441   1.195   0.735
 0409   488  16.614   1.585   0.998
 0410   488  16.640   1.751   1.290
 0411   488  17.052   1.728   1.262
 0413   488  18.327   1.258   0.749
 0414   488  17.851   1.196   0.640
 0415   488  18.377   1.208   0.521
 0416   488  16.593   1.658   1.101
 0417   488  17.736   1.141   0.665
 0418   488  16.687   1.167   0.655
 0419   488  17.424   1.142   0.783
 0420   488  18.287   1.094   0.742
 0421   488  19.045   1.171   0.543
 0422   488  19.057   1.265         
 0423   488  18.809   1.204         
 0424   488  17.724   1.223   0.693
 0425   488  15.840   1.007   0.426
 0426   488  17.092   1.779   1.399
 0427   488  18.764   1.237   0.707
 0428   488  18.195   1.152         
 0429   488  19.858   1.396         
 0430   488  18.791   1.138         
 0431   488  16.637   1.739   1.351
 0432   488  17.022   1.194   0.714
 0433   488  17.992   1.259   0.992
 0434   488  17.861   1.213         
 0435   488  17.668   1.145   0.854
 0436   488  17.391   1.139   0.827
 0437   488  16.174   0.945   0.473
 0438   488  17.330   1.362   1.440
 0439   488  18.450   1.323         
 0440   488  16.567   1.709   1.369
 0441   488  16.998   1.400   0.715
 0442   488  19.063   1.319         
 0443   488  16.724   1.107   0.658
 0444   488  18.154   1.173   0.666
 0445   488  18.783   1.288         
 0446   488  17.607   1.291   0.729
 0447   488  16.907   1.792         
 0448   488  18.830   1.324         
 0449   488  17.479   1.284   0.940
 0450   488  19.030   1.402   0.786
 0451   488  18.090   1.133   0.644
 0452   488  17.101   1.228   0.623
 0453   488  18.265   1.138   0.597
 0454   488  18.454   1.191   0.568
 0455   488  17.561   1.204   0.858
 0456   488  17.095   1.230   0.833
 0458   488  16.990   1.075   0.660
 1000   488  19.249   1.129         
 1001   488  19.930   1.240         
 1002   488  19.828   1.300         
 1003   488  18.573   1.654         
 1004   488  20.165   1.202         
 1005   488  19.333   0.988         
 1006   488  18.900   1.171         
 1007   488  19.483   1.140         
 1008   488  18.189   1.128         
 1009   488  19.117   1.286         
 1010   488  19.895   1.313         
 1011   488  18.354   1.328         
 1012   488  19.694   1.576         
 1013   488  19.374   1.239         
 1014   488  18.258   1.078         
 1015   488  18.367   1.177         
 1016   488  18.569   1.073         
 1017   488  19.776   1.345         
 1018   488  19.396   1.176         
 1019   488  18.624   1.184         
 1020   488  18.732   1.421         
 1021   488  17.927   1.056         
 1022   488  20.035   1.202         
 1023   488  18.856   1.257         
 1024   488  18.613   1.223         
 1025   488  18.453   1.113         
 1026   488  18.265   1.902         
 1027   488  19.212   1.294         
 1028   488  19.175   1.563         
 1029   488  19.901   1.284         
 1030   488  18.790   1.202         
 1031   488  18.017   1.026         
 1032   488  19.115   1.250         
 1033   488  19.169   1.223         
 1034   488  19.856   1.006         
 1035   488  19.732   1.308         
 1036   488  19.613   1.238         
 1037   488  20.604   1.220         
 1038   488  19.924   1.305         
 1039   488  20.000   1.356         
 1040   488  19.660   1.212         
 1041   488  19.223   1.442         
 1042   488  20.257   1.518         
 1043   488  19.827   1.666         
 1044   488  19.613   1.280         
 1045   488  20.273   1.115         
 1046   488  21.071   1.350         
 1047   488  20.441   1.043         
 1048   488  16.721   1.623         
 1049   488  19.872   1.412         
 1050   488  19.082   1.138         
 1051   488  19.903   1.274         
 1052   488  19.368   1.336         
 1053   488  20.141   1.522         
 1054   488  19.950   1.375         
 1055   488  19.861   1.323         
 1056   488  20.294   1.574         
 1057   488  19.697   1.218         
 1058   488  20.087   1.310         
 1059   488  18.970   1.261         
 1060   488  20.803   1.241         
 1061   488  19.799   1.435         
 1062   488  19.594   1.146         
 1063   488  20.531   1.337         
 1064   488  19.975   1.212         
 1065   488  19.803   1.328         
 1066   488  19.829   1.247         
 1067   488  19.752   1.264         
 1068   488  19.853   1.233         
 1069   488  19.571   1.243         
 1070   488  19.099   1.230         
 1071   488  19.924   1.470         
 1072   488  19.082   1.355         
 1073   488  20.382   1.564         
 1074   488  19.803   1.252         
 1075   488  20.134   1.426         
 1076   488  19.633   1.252         
 1077   488  18.014   1.768         
 1078   488  20.485   1.317         
 1079   488  16.522   1.740         
 1080   488  18.676   1.876         
 1081   488  18.945   1.150         
 1082   488  19.609   1.311         
 1083   488  19.702   1.461         
 1084   488  17.835   1.180         
 1085   488  17.539   2.739         
 1086   488  20.977   1.728         
 1087   488  16.736   1.869         
 1088   488  19.891   1.357         
 1089   488  19.018   1.419         
 1090   488  18.018   2.106         
 1091   488  20.167   1.362         
 1092   488  19.171   1.364         
 1093   488  17.774   1.270         
 1094   488  18.475   1.044         
 1095   488  18.912   1.207         
 1096   488  19.064   1.346         
 1097   488  19.490   1.225         
 1098   488  18.547   1.492         
 1099   488  19.524   1.205         
 1100   488  19.665   1.206         
 1101   488  19.868   1.218         
 1102   488  19.764   1.812         
 1103   488  19.407   1.374         
 1104   488  17.704   1.000         
 1105   488  20.225   1.421         
 1106   488  19.197   1.334         
 1107   488  19.649   1.283         
 1108   488  20.340   1.354         
 1109   488  18.929   1.188         
 1110   488  19.585   0.973         
 1111   488  20.209   1.349         
 1112   488  18.494   1.126         
 1113   488  19.318   1.379         
 1114   488  19.325   1.218         
 1115   488  19.202   1.414         
 1116   488  20.202   1.204         
 1117   488  18.052   1.826         
