UBV CCD observations

  No    Ref    V       B-V     U-B

 0027   334  10.772   0.309   0.165
 0028   334  10.929   0.287   0.134
 0029   334   9.967   0.111   0.083
 0036   334  11.279   0.414   0.132
 0039   334  10.648   0.255   0.138
 0046   334  11.622   0.415   0.043
 0047   334   9.612   0.140  -0.007
 0051   334  10.984   0.382   0.157
 0052   334   9.917   0.109   0.093
 0054   334   9.732   0.119   0.015
 0055   334  10.330   0.255   0.137
 0057   334  10.882   0.293   0.162
 0059   334  10.207   0.155   0.091
 0063   334  10.400   0.109   0.150
 0065   334   8.604   0.014  -0.158
 0066   334  10.789   0.334   0.155
 0067   334   9.020   0.062  -0.151
 0069   334   9.825   0.133   0.046
 0070   334   9.349   0.060  -0.045
 0074   334  10.777   0.222   0.155
 0076   334  10.418   0.234   0.148
 0078   334   8.789  -0.050  -0.181
 0080   334  11.530   0.364   0.087
 0081   334  10.081   0.170   0.086
 0082   334   9.691   0.034  -0.026
 0085   334  11.148   0.331   0.126
 0086   334  11.266   0.409   0.104
 0088   334  10.340   0.128   0.106
 0091   334   9.788   0.016  -0.009
 0092   334  10.149   0.078   0.099
 0094   334  10.693   0.219   0.147
 0097   334  11.137   0.291   0.144
 0099   334  10.278   0.216   0.128
 0101   334  12.545   0.507   0.090
 0104   334  12.540   0.603   0.045
 0107   334  11.368   0.331   0.119
 0109   334  10.001   0.046   0.021
 0116   334  10.809   0.199   0.156
 0117   334  11.015   0.223   0.117
 0123   334  11.028   0.240   0.163
 0128   334  10.838   0.167   0.163
 0134   334  10.321   0.148   0.132
 0139   334  12.401   0.535   0.084
 0145   334  11.484   0.331   0.115
 0147   334  11.724   0.403   0.097
 0148   334  11.723   0.406   0.056
 0154   334  12.266   0.592   0.045
 0158   334  12.517   0.517   0.066
 0159   334  13.246   0.638   0.138
 0160   334  12.663   0.556   0.158
 0161   334  13.030   0.631   0.129
 0164   334  12.697   0.567   0.110
 0165   334  12.923   0.657   0.162
 0172   334  13.109   0.640   0.196
 0173   334  13.270   0.737   0.319
 0175   334  13.346   0.668   0.183
 0181   334  13.038   0.740   0.220
 0187   334  11.649   0.413   0.064
 0188   334  11.991   0.648   0.098
 0191   334  12.804   0.642   0.191
 0192   334  12.924   0.705   0.156
 0195   334  13.565   0.721   0.213
 0198   334  13.648   0.715   0.318
 0201   334  13.887   0.777   0.353
 0202   334  13.873   0.828   0.396
 0203   334  13.723   0.733   0.379
 0213   334  12.749   0.589   0.105
 1062   334  12.726   0.531   0.144
 1065   334  15.550   1.141   0.735
 1072   334  15.377   0.702   0.253
 1077   334  13.355   0.710   0.229
 1088   334  13.233   0.621   0.151
 1092   334  13.071   0.729   0.349
 1099   334  12.636   0.679   0.200
 1101   334  12.464   0.643   0.137
 1104   334  11.659   0.439   0.236
 1112   334  11.348   0.329   0.149
 1114   334  14.084   0.754   0.234
 1142   334  13.312   0.735   0.239
 1145   334  11.222   0.365   0.108
 1152   334  14.214   0.986   0.626
 1157   334  11.210   0.398   0.126
 1166   334  12.057   0.604   0.067
 1178   334  12.668   0.594   0.082
 1190   334  13.340   0.725   0.150
 1191   334  12.679   0.619   0.060
 1192   334  11.120   0.392   0.139
 1193   334  12.108   0.570   0.074
 1197   334  13.141   0.702   0.221
 1204   334  13.389   0.679   0.264
 1212   334  12.633   0.555   0.116
 1214   334  13.613   0.660   0.236
 1218   334  12.080   0.581   0.102
 1219   334  11.589   0.404   0.103
 1223   334  12.388   0.589   0.077
 1227   334  13.131   0.742   0.110
 1229   334  12.853   0.683   0.140
 1237   334  12.510   0.616   0.071
 1246   334  12.303   0.490   0.087
 1255   334  12.565   0.499   0.146
 1281   334  13.718   0.743   0.251
 1289   334  15.180   0.904   0.777
 1294   334  12.874   0.742   0.133
 1295   334  14.387   0.901   0.537
 1302   334  14.930   0.793   0.318
 1304   334  13.214   0.649   0.218
 1326   334  12.175   0.453   0.082
 1332   334  14.376   0.906   0.630
 1335   334  12.627   0.545   0.149
 1342   334  12.646   0.571   0.095
 1366   334  11.648   0.431   0.080
 1372   334  11.143   0.303   0.153
 1408   334  13.075   0.618   0.117
 1431   334  11.730   0.380   0.064
 1439   334  12.976   0.654   0.164
 1443   334  12.095   0.478   0.070
 1457   334  12.471   0.573   0.080
 1489   334  13.486   0.668   0.270
 1490   334  12.444   0.524   0.084
 1512   334  12.127   0.654  -0.145
 1514   334  13.278   0.671   0.215
 1516   334  15.136   1.058   0.813
 1533   334  12.007   0.540   0.082
 1534   334  15.963   1.151   0.726
 1545   334  11.553   0.394   0.073
 1546   334  12.289   0.590   0.117
 1553   334  12.239   0.450   0.044
 1557   334  13.562   0.707   0.262
 1560   334  12.565   0.503   0.037
 1587   334  13.134   0.618   0.160
 1589   334  13.170   0.711   0.201
 1590   334  12.088   0.467   0.066
 1592   334  13.086   0.610   0.159
 1595   334  13.489   0.798   0.485
 1597   334  13.104   0.652   0.197
 1603   334  12.840   0.609   0.120
 1615   334  15.637   1.225   0.849
 1616   334  11.802   0.471   0.055
 1617   334  12.634   0.639   0.145
 1621   334  12.616   0.540   0.030
 1634   334  12.692   0.660   0.185
 1638   334  14.188   0.832   0.509
 1640   334  10.824   0.274   0.154
 1649   334  13.379   0.693   0.282
 1653   334  11.851   0.426   0.093
 1664   334  12.552   0.557   0.092
 1668   334  13.354   0.728   0.314
 1673   334  16.242   1.252   0.317
 1683   334  15.651   1.143   0.884
 1685   334  15.188   1.065   0.933
 1696   334  12.561   0.432   0.068
 1698   334  13.119   0.665   0.157
 1710   334  15.416   1.266   0.792
 1714   334  12.659   0.587   0.059
 1717   334  12.650   0.645   0.166
 1723   334  12.285   0.500   0.102
 2001   334  14.055   0.628   0.168
 2002   334  16.014   1.084   1.314
 2003   334  16.049   1.225   0.989
 2004   334  14.976   0.969   0.711
 2005   334  18.434   1.582  -0.941
 2006   334  16.177   1.392   0.327
 2007   334  18.053   1.295  -0.433
 2008   334  16.119   1.309   0.605
 2009   334  17.238   2.295  -5.666
 2010   334  15.926   1.255   1.369
 2011   334  14.449   0.742   0.595
 2012   334  15.715   1.159   0.662
 2013   334  17.316   1.597  -0.692
 2015   334  16.089   1.292   0.814
 2016   334  18.911   0.440   0.956
 2017   334  15.559   1.300   0.885
 2018   334  15.797   1.463   1.213
 2019   334  15.817   1.119   0.820
 2020   334  16.228   1.191   0.375
 2021   334  15.994   1.143   0.927
 2022   334  15.964   1.348   0.947
 2023   334  17.857   1.334   0.026
 2024   334  15.597   1.282   1.138
 2025   334  15.549   1.321   0.721
 2026   334  16.389   1.513   1.000
 2027   334  16.035   0.997   0.638
 2028   334  18.609   0.540   0.344
 2029   334  14.405   0.844   0.559
 2030   334  18.817   0.906  -0.851
 2031   334  16.485   1.295   0.481
