UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   485  10.100   0.900   0.930
 0002   485  11.430   0.060   0.320
 0003   485  11.720   0.230   0.160
 0004   485  11.560   0.390   0.200
 0005   485  11.900   1.100   1.070
 0006   485  12.420   0.280   0.130
 0007   485  12.620   0.160   0.010
 0008   485  12.730   1.320   1.320
 0009   485  12.790   0.710   0.220
 0010   485  12.900   1.000   0.750
 0011   485  12.910   0.700   0.340
 0012   485  13.000   1.050   0.760
 0013   485  13.020   0.460   0.070
 0014   485  13.070   0.560   0.110
 0015   485  13.250   0.520   0.080
 0016   485  13.280   1.070   0.860
 0017   485  13.500   0.380   0.220
 0018   485  13.550   0.500   0.050
 0019   485  13.640   1.350   1.790
 0020   485  13.660   0.290   0.170
 0021   485  13.700   1.150   1.230
 0022   485  13.740   0.290   0.150
 0023   485  13.740   0.940   0.740
 0024   485  13.800   0.690   0.260
 0025   485  13.860   0.260   0.090
 0026   485  13.860   0.560   0.090
 0027   485  13.900   1.020   0.860
 0028   485  13.930   0.300   0.120
 0029   485  13.930   0.230   0.090
 0030   485  13.940   0.280   0.110
 0031   485  13.960   1.020   0.890
 0032   485  14.000   0.520   0.140
 0033   485  14.110   0.460   0.170
 0034   485  14.170   0.300   0.180
 0035   485  14.180   0.280   0.110
 0036   485  14.190   0.800   0.530
 0037   485  14.240   0.280   0.180
 0038   485  14.240   0.680   0.260
 0039   485  14.240   1.340   1.480
 0040   485  14.260   0.260   0.160
 0041   485  14.300   0.400   0.210
 0042   485  14.300   0.260   0.090
 0043   485  14.390   0.320   0.180
 0044   485  14.420   0.400   0.340
 0045   485  14.430   1.060   0.990
 0046   485  14.460   0.270   0.170
 0047   485  14.490   0.930   0.720
 0048   485  14.500   0.500   0.110
 0049   485  14.500   0.400   0.350
 0050   485  14.530   0.550   0.210
 0051   485  14.530   0.380   0.180
 0052   485  14.540   0.310   0.240
 0053   485  14.540   0.680   0.270
 0054   485  14.570   0.380   0.290
 0055   485  14.590   0.240   0.150
 0056   485  14.600   1.060   0.840
 0057   485  14.640   0.280   0.200
 0058   485  14.680   0.340   0.240
 0059   485  14.680   0.450   0.260
 0060   485  14.680   0.330   0.200
 0061   485  14.740   0.330   0.260
 0062   485  14.740   0.670   0.310
 0063   485  14.750   1.100   0.720
 0064   485  14.750   0.280   0.250
 0065   485  14.760   0.310   0.300
 0066   485  14.770   0.370   0.250
 0067   485  14.770   0.330  -0.210
 0068   485  14.770   0.310   0.260
 0069   485  14.780   0.590   0.120
 0070   485  14.790   0.350   0.240
 0071   485  14.810   0.610   0.100
 0072   485  14.870   0.590   0.160
 0073   485  14.890   1.290   1.120
 0074   485  14.900   0.310   0.220
 0075   485  14.910   0.710   0.330
 0076   485  14.930   0.420   0.310
 0077   485  14.950   1.660   1.670
 0078   485  14.970   0.430   0.310
 0079   485  15.000   0.960   0.610
 0080   485  15.020   0.790   0.380
 0081   485  15.050   0.300  -0.150
 0082   485  15.070   0.280   0.220
 0083   485  15.080   0.330   0.060
 0084   485  15.090   1.070   0.890
 0085   485  15.100   0.360   0.270
 0086   485  15.110   1.110   0.930
 0087   485  15.110   0.360   0.290
 0088   485  15.120   0.360   0.270
 0089   485  15.130   0.690   0.220
 0090   485  15.130   0.480   0.370
 0091   485  15.150   0.510   0.300
 0092   485  15.180   0.330  -0.090
 0093   485  15.180   0.680   0.310
 0094   485  15.190   0.570   0.110
 0095   485  15.200   0.360   0.260
 0096   485  15.210   0.240  -0.070
 0097   485  15.210   0.380   0.320
 0098   485  15.210   0.660   0.210
 0099   485  15.220   0.320  -0.140
 0100   485  15.230   0.730   0.160
 0101   485  15.240   0.520   0.160
 0102   485  15.270   0.480   0.410
 0103   485  15.270   0.550   0.230
 0104   485  15.280   0.430   0.360
 0105   485  15.290   0.390   0.240
 0106   485  15.300   0.530   0.210
 0107   485  15.340   0.490   0.150
 0108   485  15.340   0.780   0.400
 0109   485  15.410   0.530   0.130
 0110   485  15.430   0.700   0.180
 0111   485  15.440   0.630   0.160
 0112   485  15.450   0.510   0.420
 0113   485  15.460   0.430   0.310
 0114   485  15.460   0.980   0.810
 0115   485  15.460   0.650   0.120
 0116   485  15.470   0.880   0.510
 0117   485  15.480   0.650   0.180
 0118   485  15.480   0.400   0.280
 0119   485  15.490   0.420   0.350
 0120   485  15.490   0.570   0.350
 0121   485  15.510   0.360   0.300
 0122   485  15.520   1.150   0.860
 0123   485  15.540   0.560   0.400
 0124   485  15.540   0.400   0.320
 0125   485  15.570   0.680   0.310
 0126   485  15.570   0.390   0.320
 0127   485  15.580   1.060   0.830
 0128   485  15.590   0.980   0.590
 0129   485  15.610   1.090   1.070
 0130   485  15.630   0.630   0.160
 0131   485  15.630   0.690   0.170
 0132   485  15.640   1.060   0.770
 0133   485  15.650   0.380  -0.040
 0134   485  15.650   0.800   0.460
 0135   485  15.660   0.580   0.300
 0136   485  15.670   0.440   0.350
 0137   485  15.690   1.010   0.910
 0138   485  15.690   0.550   0.240
 0139   485  15.690   0.690   0.260
 0140   485  15.720   0.470   0.310
 0141   485  15.750   0.610   0.380
 0142   485  15.750   0.740   0.330
 0143   485  15.750   0.300   0.060
 0144   485  15.770   0.490   0.350
 0145   485  15.790   0.470   0.330
 0146   485  15.790   0.470   0.350
 0147   485  15.800   0.820   0.450
 0148   485  15.810   0.540   0.420
 0149   485  15.820   0.820   0.520
 0150   485  15.820   0.460   0.310
 0151   485  15.830   0.420   0.310
 0152   485  15.840   0.660   0.260
 0153   485  15.850   0.480   0.340
 0154   485  15.860   0.550   0.120
 0155   485  15.910   0.740   0.360
 0156   485  15.910   0.800   0.400
 0157   485  15.920   0.720   0.230
 0158   485  15.920   0.400   0.340
 0159   485  15.920   0.370   0.230
 0160   485  15.940   0.470   0.400
 0161   485  15.950   0.470   0.340
 0162   485  15.950   1.130   1.230
 0163   485  15.970   0.410  -0.190
 0164   485  15.970   0.500   0.290
 0165   485  15.970   0.480   0.320
 0166   485  15.970   0.420   0.350
 0167   485  15.980   0.520   0.300
 0168   485  15.980   1.480   1.740
 0169   485  15.980   0.430   0.360
 0170   485  15.980   0.670   0.430
 0171   485  15.990   0.530   0.350
 0172   485  15.990   0.660   0.280
 0173   485  16.030   0.470   0.330
 0174   485  16.040   0.500   0.360
 0175   485  16.060   0.460   0.390
 0176   485  16.060   0.630   0.210
 0177   485  16.060   1.140   0.950
 0178   485  16.090   1.120   0.520
 0179   485  16.100   0.640   0.180
 0180   485  16.100   1.310   1.250
 0181   485  16.110   0.510   0.330
 0182   485  16.120   1.640         
 0183   485  16.130   0.650   0.410
 0184   485  16.130   0.860   0.530
 0185   485  16.140   0.600   0.080
 0186   485  16.140   0.520   0.270
 0187   485  16.160   1.380   1.200
 0188   485  16.160   0.680   0.210
 0189   485  16.170   0.410   0.320
 0190   485  16.170   0.680   0.200
 0191   485  16.180   0.530   0.290
 0192   485  16.180   0.690   0.180
 0193   485  16.180   0.780   0.280
 0194   485  16.190   0.600   0.150
 0195   485  16.190   0.710   0.240
 0196   485  16.190   0.630   0.230
 0197   485  16.190   0.540   0.280
 0198   485  16.200   1.010   1.070
 0199   485  16.210   0.530   0.280
 0200   485  16.210   1.340   1.240
 0201   485  16.220   0.660   0.150
 0202   485  16.220   1.340   1.040
 0203   485  16.220   0.760   0.340
 0204   485  16.230   0.840   0.580
 0205   485  16.240   0.530   0.300
 0206   485  16.240   0.510   0.240
 0207   485  16.250   0.690   0.240
 0208   485  16.250   0.370         
 0209   485  16.310   1.250   0.990
 0210   485  16.310   0.930   0.590
 0211   485  16.330   1.350   1.350
 0212   485  16.340   0.620   0.250
 0213   485  16.340   0.580   0.290
 0214   485  16.350   0.770   0.330
 0215   485  16.370   0.640   0.270
 0216   485  16.380   1.030   0.630
 0217   485  16.380   0.670   0.200
 0218   485  16.390   0.690   0.220
 0219   485  16.390   0.720   0.290
 0220   485  16.400   0.800   0.310
 0221   485  16.410   0.550   0.210
 0222   485  16.410   0.680   0.170
 0223   485  16.420   0.770   0.420
 0224   485  16.420   1.120   1.140
 0225   485  16.420   0.690   0.190
 0226   485  16.440   0.690         
 0227   485  16.440   0.580   0.350
 0228   485  16.440   0.760   0.320
 0229   485  16.440   1.390         
 0230   485  16.450   1.250   1.040
 0231   485  16.460   0.570   0.260
 0232   485  16.470   0.720   0.260
 0233   485  16.480   0.580   0.440
 0234   485  16.480   0.690   0.190
 0235   485  16.490   0.640   0.520
 0236   485  16.490   0.750   0.240
 0237   485  16.500   0.720   0.190
 0238   485  16.500   0.610  -0.230
 0239   485  16.500   0.560   0.660
 0240   485  16.500   0.490   0.240
 0241   485  16.510   0.560   0.150
 0242   485  16.510   0.690   0.110
 0243   485  16.530   1.100         
 0244   485  16.530   0.590   0.370
 0245   485  16.550   0.770   0.380
 0246   485  16.560   0.590   0.140
 0247   485  16.570   0.760   0.450
 0248   485  16.570   1.230   1.140
 0249   485  16.570   0.780   0.300
 0250   485  16.580   0.880   0.440
 0251   485  16.580   0.580   0.430
 0252   485  16.600   0.600   0.140
 0253   485  16.600   0.970   0.610
 0254   485  16.600   1.300   0.920
 0255   485  16.600   0.870   0.570
 0256   485  16.600   1.080   0.860
 0257   485  16.610   0.460   0.270
 0258   485  16.640   0.630   0.150
 0259   485  16.640   0.730   0.240
 0260   485  16.640   0.650   0.110
 0261   485  16.660   0.530   0.450
 0262   485  16.660   0.720   0.180
 0263   485  16.660   0.590   0.180
 0264   485  16.690   0.630   0.310
 0265   485  16.700   1.430         
 0266   485  16.700   0.950   0.730
 0267   485  16.710   0.610   0.180
 0268   485  16.720   0.750   0.410
 0269   485  16.720   0.850   0.370
 0270   485  16.720   0.510   0.470
 0271   485  16.740   0.450   0.140
 0272   485  16.750   1.280         
 0273   485  16.750   0.940   0.550
 0274   485  16.750   0.710   0.230
 0275   485  16.770   0.640   0.170
 0276   485  16.770   0.750         
 0277   485  16.790   1.440   1.900
 0278   485  16.790   0.730         
 0279   485  16.820   0.760   0.380
 0280   485  16.820   0.640   0.020
 0281   485  16.820   0.580   0.280
 0282   485  16.840   1.320         
 0283   485  16.850   0.660   0.230
 0284   485  16.850   0.660   0.120
 0285   485  16.860   1.090         
