UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   522   9.200   1.157   0.814
 0002   522  10.951   0.489   0.092
 0003   522  11.189   1.294   1.044
 0004   522  11.487   0.160  -0.007
 0005   522  11.639   0.081  -0.271
 0006   382  11.990   0.160  -0.260
 0006   522  12.052   0.147  -0.176
 0007   382  12.100   1.130   0.970
 0007   522  12.131   1.228   0.891
 0008   522  12.160   2.158   2.186
 0009   382  12.190   0.280   0.250
 0009   522  12.219   0.299   0.172
 0010   522  12.656   1.768   1.549
 0011   522  12.772   0.100  -0.257
 0012   382  12.900   1.290   0.050
 0013   382  13.000   0.370   0.310
 0013   522  13.025   0.390   0.292
 0014   382  13.060   0.460   0.050
 0014   522  13.078   0.452   0.107
 0015   382  13.140   0.330   0.240
 0015   522  13.172   0.333   0.228
 0017   382  13.550   1.280   1.320
 0017   522  13.570   1.378   1.151
 0018   382  13.570   0.420   0.250
 0018   522  13.591   0.422   0.288
 0019   382  13.570   0.260   0.180
 0019   522  13.613   0.275   0.218
 0020   382  13.800   0.560   0.280
 0020   522  13.843   0.551   0.314
 0021   382  13.870   1.550   0.710
 0021   522  13.889   1.527   0.918
 0022   382  13.910   0.360   0.280
 0022   522  13.938   0.360   0.297
 0023   382  13.910   1.080   0.840
 0023   522  13.914   1.191   0.786
 0024   382  13.930   0.790   0.330
 0024   522  13.967   0.819   0.293
 0025   382  14.010   0.630   0.120
 0025   522  14.050   0.634   0.146
 0026   382  14.060   0.650   0.120
 0026   522  14.108   0.683   0.114
 0027   382  14.110   0.290   0.220
 0027   522  14.146   0.273   0.201
 0028   382  14.190   1.850   1.520
 0028   522  14.194   2.074   2.004
 0029   382  14.230   1.570   1.420
 0030   382  14.360   1.260   0.990
 0030   522  14.404   1.340   0.995
 0031   382  14.400   0.420   0.310
 0031   522  14.412   0.393   0.271
 0032   382  14.420   0.680   0.190
 0032   522  14.460   0.712   0.229
 0033   382  14.450   0.840   0.410
 0033   522  14.512   0.898   0.364
