UBV CCD observations

  No    Ref    V       B-V     U-B

 0002   503  11.521   0.179  -0.561
 0003   503  12.223   0.257  -0.451
 0005   503  10.990   0.592  -0.284
 0007   503  11.831   0.288   0.323
 0009   503  11.271   0.417  -0.481
 0010   503  11.210   0.746   0.032
 0011   503  11.498   0.174   0.129
 0012   503  11.763   0.277  -0.359
 0013   503  11.710   0.298  -0.474
 0016   503  11.888   0.291  -0.400
 0018   503  11.937   0.237   0.226
 0019   503  13.012   1.396   1.216
 0021   503  12.316   0.413  -0.436
 0024   503  12.326   0.436   0.326
 0100   503  11.507   0.174   0.015
 0102   503  10.971   0.292  -0.601
 0103   503  11.090   0.655   0.150
 0108   503  11.362   0.264   0.101
 0110   503  11.465   1.159   0.893
 0112   503  11.533   0.479   0.041
 0114   503  11.718   0.270   0.337
 0115   503  11.724   0.296   0.326
 0116   503  11.760   1.128   0.895
 0118   503  11.790   0.495   0.464
 0119   503  11.794   0.843   0.315
 0120   503  11.831   0.370   0.413
 0121   503  11.863   1.173   1.003
 0122   503  11.892   0.647   0.219
 0123   503  11.893   0.645   0.238
 0124   503  11.896   0.343  -0.353
 0125   503  11.948   0.287   0.324
 0126   503  11.960   0.262   0.215
 0127   503  12.011   0.402  -0.454
 0128   503  12.019   0.308   0.349
 0129   503  12.025   0.777   0.216
 0130   503  12.039   0.213  -0.048
 0131   503  12.052   0.428   0.522
 0132   503  12.055   0.251  -0.298
 0133   503  12.061   0.498   0.349
 0134   503  12.093   0.234   0.184
 0135   503  12.135   1.683   1.783
 0136   503  12.142   0.787   0.329
 0137   503  12.144   1.364   1.208
 0138   503  12.174   0.513   0.390
 0139   503  12.179   0.232  -0.139
 0140   503  12.182   1.539   1.529
 0141   503  12.190   0.507  -0.244
 0142   503  12.197   0.338   0.018
 0143   503  12.198   0.498   0.105
 0144   503  12.204   0.360   0.330
 0145   503  12.222   0.719   0.159
 0146   503  12.229   0.701   0.189
 0147   503  12.265   0.204  -0.419
 0148   503  12.300   0.616   0.147
 0149   503  12.331   0.680   0.244
 0150   503  12.348   0.338  -0.373
 0151   503  12.371   0.291   0.334
 0152   503  12.427   0.507  -0.320
 0153   503  12.481   0.595   0.045
 0154   503  12.483   1.108   0.714
 0155   503  12.512   0.394   0.376
 0156   503  12.543   0.408   0.362
 0157   503  12.572   0.715   0.444
 0158   503  12.610   1.292   0.877
 0159   503  12.621   0.397   0.355
 0160   503  12.629   0.597   0.148
 0161   503  12.634   0.403   0.008
 0162   503  12.658   0.470  -0.197
 0163   503  12.663   0.433   0.459
 0164   503  12.665   0.292  -0.293
 0165   503  12.683   0.386   0.374
 0166   503  12.684   0.243   0.291
 0167   503  12.694   0.540   0.165
 0168   503  12.695   0.604   0.114
 0169   503  12.747   0.471   0.335
 0170   503  12.792   1.428   1.157
 0171   503  12.800   0.652   0.183
 0172   503  12.803   1.274   0.846
 0173   503  12.806   0.306   0.373
 0174   503  12.837   0.779   0.283
 0175   503  12.842   0.392   0.365
 0176   503  12.851   0.256  -0.159
 0177   503  12.853   0.529   0.391
 0178   503  12.855   0.373  -0.101
 0179   503  12.857   0.593  -0.180
 0180   503  12.862   0.479   0.472
 0181   503  12.869   0.328  -0.320
 0182   503  12.872   1.343   0.995
 0183   503  12.882   0.382  -0.120
 0184   503  12.892   0.540   0.318
 0185   503  12.896   0.298  -0.084
 0186   503  12.905   0.668   0.072
 0187   503  12.915   0.393  -0.110
 0188   503  12.923   0.419   0.402
 0189   503  12.945   0.360   0.380
 0190   503  12.990   0.803   0.271
 0191   503  13.018   0.631   0.293
 0192   503  13.046   0.558   0.539
 0193   503  13.051   1.767   1.589
 0194   503  13.060   0.582   0.083
 0195   503  13.067   0.454   0.216
 0196   503  13.072   0.692   0.142
 0197   503  13.073   0.783   0.307
 0198   503  13.082   0.330   0.349
 0199   503  13.091   0.341   0.377
 0200   503  13.099   0.435  -0.323
 0201   503  13.107   0.643   0.190
 0202   503  13.113   0.874   0.383
 0203   503  13.124   0.521   0.104
 0204   503  13.130   0.331  -0.163
 0205   503  13.144   0.636   0.058
 0206   503  13.169   0.767   0.238
 0207   503  13.176   0.481   0.311
 0208   503  13.177   0.299  -0.141
 0209   503  13.193   0.393   0.397
 0210   503  13.201   0.378   0.385
 0211   503  13.211   0.280   0.165
 0212   503  13.214   0.441   0.016
 0213   503  13.234   0.487   0.421
 0214   503  13.236   0.291  -0.210
 0215   503  13.237   0.595   0.481
 0216   503  13.242   0.613   0.504
 0217   503  13.251   0.417  -0.105
 0218   503  13.291   0.345  -0.024
 0219   503  13.305   0.420   0.388
 0220   503  13.312   0.381  -0.071
 0221   503  13.318   0.716   0.223
 0222   503  13.320   0.785   0.044
 0223   503  13.324   0.807   0.420
 0224   503  13.329   0.333  -0.147
 0225   503  13.331   0.219  -0.291
 0226   503  13.345   0.700   0.627
 0227   503  13.349   0.419   0.364
 0228   503  13.352   0.745   0.207
 0229   503  13.355   0.632   0.069
 0230   503  13.359   0.754   0.227
 0231   503  13.361   0.315  -0.137
 0232   503  13.362   0.650   0.124
 0233   503  13.363   6.442         
 0234   503  13.366   0.825   0.488
 0235   503  13.371   0.809  -0.051
 0236   503  13.376   0.329  -0.071
 0237   503  13.382   1.279   0.903
 0238   503  13.386   0.849   0.461
 0239   503  13.403   0.519   0.355
 0240   503  13.409   0.419   0.033
 0241   503  13.412   1.349   1.240
 0242   503  13.423   0.635   0.141
 0243   503  13.433   0.683   0.156
 0244   503  13.447   0.761   0.298
 0245   503  13.450   0.646   0.126
 0246   503  13.457   0.518   0.144
 0247   503  13.457   1.196   0.778
 0248   503  13.458   0.418         
 0249   503  13.461   0.454   0.423
 0250   503  13.463   0.530  -0.250
 0251   503  13.481   1.341   0.863
 0252   503  13.485   0.335  -0.154
 0254   503  13.496   0.335  -0.110
 0255   503  13.499   0.526   0.363
 0256   503  13.517   1.394   1.098
