UBV CCD observations

  No    Ref    V       B-V     U-B

 0001    55   9.490   0.140  -0.810
 0001   390   9.463   0.152  -0.923
 0002    55  10.780   0.150  -0.670
 0002   390  10.806   0.186  -0.856
 0003    55  10.160   0.210  -0.740
 0003   390  10.127   0.257  -0.878
 0004    55  10.960   0.240  -0.530
 0004   390  11.200   0.287  -0.774
 0005    55  10.880   0.250  -0.610
 0006    55  11.820   0.230  -0.350
 0006   348  11.740   0.190  -0.520
 0006   390  11.761   0.265  -0.590
 0007    55   8.190   0.140  -0.820
 0008    55  10.820   0.140  -0.700
 0008   390  10.752   0.207  -0.844
 0009    55   9.770   0.260  -0.670
 0009   390   9.787   0.242  -0.812
 0010    55   9.860   0.270  -0.640
 0011    55  11.190   0.170  -0.680
 0012    55  11.520   0.330  -0.660
 0013    55  10.800   0.240  -0.640
 0014    55  11.570   0.330  -0.530
 0014   348  11.680   0.270  -0.600
 0015    55  11.440   0.260  -0.480
 0016    55  10.770   0.280  -0.530
 0017    55  10.880   0.220  -0.700
 0018    55  12.050   0.180  -0.470
 0018   348  12.110   0.120  -0.680
 0020    55  10.180   0.120  -0.660
 0021    55  10.890   0.420  -0.580
 0022    55  10.930   0.680  -0.860
 0022   390  10.934   0.422  -0.685
 0023    55  10.000   0.370  -0.610
 0023   390  10.055   0.343  -0.760
 0024    55  11.500   0.210  -0.600
 0024   390  11.547   0.186  -0.727
 0025   348  11.690   0.230  -0.600
 0025   390  11.709   0.233  -0.574
 0026   348  11.850   0.270  -0.780
 0026   390  11.855   0.298  -0.807
 0027    55  11.070   0.160  -0.750
 0027   390  10.977   0.232  -0.819
 0028    55  11.630   0.240  -0.550
 0028   348  11.510   0.300  -0.540
 0029    55  11.420   0.410  -0.420
 0029   348  11.480   0.320  -0.520
 0030    55  11.140   0.890   1.090
 0031    55  10.480   0.220  -0.680
 0032    55  11.100   0.170   0.160
 0033    55  12.160   0.320  -0.460
 0033   348  12.260   0.310  -0.560
 0033   390  12.235   0.310  -0.555
 0034    55   9.270   0.230  -0.730
 0034   390   9.291   0.225  -0.868
 0035    55   9.470   1.340   2.700
 0037    55  10.740   0.210  -1.090
 0037   348  12.960   0.240  -0.480
 0038    55  13.790   0.550  -0.390
 0038   348  13.310   0.330  -0.400
 0038   390  13.255   0.392  -0.349
 0039    55  12.380   0.330  -0.410
 0039   348  12.720   0.400  -0.440
 0039   390  12.678   0.489  -0.484
 0040    55  12.260   0.300  -0.410
 0040   390  13.163   0.433  -0.404
 0041    55  12.060   0.290  -0.620
 0041   348  12.410   0.320  -0.560
 0041   390  12.389   0.341  -0.531
 0042    55  13.080   0.380  -0.430
 0042   348  12.900   0.360  -0.480
 0042   390  12.852   0.421  -0.527
 0043    55  12.250   0.530   0.350
 0044    55  12.940   0.350  -0.450
 0044   348  13.470   0.590  -0.200
 0045    55  12.980   0.830   0.850
 0046    55  11.680   0.330  -0.350
 0046   348  11.640   0.320  -0.540
 0046   390  11.650   0.359  -0.475
 0047    55  12.870   0.490  -0.360
 0047   390  12.868   0.361  -0.496
 0048    55  11.980   0.140   0.220
 0048   348  11.850   0.150  -0.240
 0048   390  11.902   0.207  -0.030
 0049   348  12.990   1.810         
 0049   390  13.017   1.888   1.605
 0050    55  12.710   0.430  -0.450
 0050   348  12.860   0.290  -0.460
 0050   390  12.887   0.338  -0.469
 0051    55  12.940   0.380  -0.430
 0051   348  12.830   0.350  -0.480
 0051   390  12.768   0.389  -0.516
 0052    55  12.720   0.310  -0.190
 0052   348  12.630   0.400  -0.480
 0053   348  13.220   1.290   1.300
 0053   390  13.150   1.350   1.045
 0054    55  12.850   0.380  -0.010
 0054   348  12.870   0.380  -0.380
 0054   390  12.815   0.449  -0.416
 0055    55  12.220   0.260  -0.460
 0055   348  12.180   0.330  -0.580
 0055   390  12.201   0.313  -0.634
 0056    55  13.340   0.380   0.190
 0057    55  12.910   0.230   0.170
 0058    55  12.260   0.370   0.090
 0059    55  12.360   0.250  -0.830
 0060    55  11.720   0.220  -0.410
 0061    55  11.690   0.230  -0.410
 0062    55  14.060   0.690  -0.950
 0062   348  13.870   0.280         
 0062   390  13.904   0.284  -0.168
 0063    55  12.900   0.260  -0.400
 0063   390  12.750   0.278  -0.525
 0064   390  10.661   0.168  -0.861
 0065   390  11.005   0.189  -0.829
 0066   348  11.930   0.160  -0.620
 0066   390  11.918   0.220  -0.697
 0067   390  13.650   0.932   0.403
 0068    55  12.140   0.380  -0.680
 0068   348  12.380   0.270  -0.520
 0068   390  12.426   0.264  -0.532
 0069    55  13.020   0.190   0.130
 0069   348  13.020   0.420  -0.420
 0069   390  12.959   0.431  -0.380
 0070    55  13.320   0.120  -0.010
 0070   348  13.350   0.370  -0.400
 0070   390  13.306   0.399  -0.409
 0071    55  10.820   0.170  -0.630
 0071   348  13.610   0.400  -0.280
 0072    55  11.870   0.260  -0.380
 0072   348  12.190   0.220  -0.640
 0072   390  12.098   0.277  -0.642
 0073    55  11.900   0.350  -0.450
 0073   348  11.840   0.470  -0.620
 0073   390  11.879   0.403  -0.613
 0074    55  11.690   0.300  -0.630
 0074   348  11.670   0.230  -0.700
 0074   390  11.659   0.269  -0.759
 0075   348  14.260   0.700   0.280
 0075   390  14.250   0.651   0.687
 0076    55  11.140   0.450  -0.430
 0076   390  11.187   0.414  -0.598
 0077    55  11.500   0.210  -0.780
 0077   348  12.060   0.310  -0.600
 0077   390  12.011   0.349  -0.590
 0078    55  12.220   0.940   0.670
 0079    55  13.180   0.330  -0.220
 0094    55   9.880   0.130  -0.620
 0098    55   9.030   0.130  -0.860
 0100    55   8.650   0.190  -0.770
 0104    55   8.820   0.140  -0.790
 0110    55   9.310   0.290  -0.640
 0110   390   9.265   0.316  -0.808
 0112    55   9.280   0.290  -0.690
 0112   390   9.260   0.306  -0.850
 0115    55  10.090   0.150  -0.780
 0115   390  10.114   0.158  -0.940
 0122    55  11.400   0.190  -0.580
 0123    55  12.590   0.270  -0.450
 0124    55  11.140   0.230  -0.670
 0125    55  12.150   0.670   0.130
 0126    55  10.960   0.400  -0.430
 0127    55  10.690   0.350  -0.580
 0129    55  11.550   0.310  -0.270
 0130    55  12.900   0.260  -0.040
 0131    55  13.740   0.210   0.180
 0132    55  12.570   0.380  -0.440
 0132   348  13.320   0.610  -0.340
 0133    55  11.800   0.420  -0.620
 0133   348  11.750   0.360  -0.580
 0133   390  11.815   0.325  -0.669
 0134    55  11.630   0.400  -0.550
 0134   348  11.620   0.410  -0.640
 0134   390  11.681   0.345  -0.670
 0135    55  12.470   0.400  -0.540
 0135   348  12.570   0.320  -0.560
 0135   390  12.542   0.336  -0.581
 0136    55  11.820   0.300  -0.520
 0136   348  11.890   0.170  -0.560
 0136   390  11.886   0.255  -0.684
 0139    55  12.130   0.230  -0.400
 0139   348  12.120   0.200  -0.440
 0139   390  12.083   0.321  -0.508
 0140    55  11.880   0.170  -0.130
 0140   348  12.100   0.180  -0.480
 0140   390  12.061   0.245  -0.376
 0145    55  12.020   0.380   0.240
 0146    55  12.530   0.390  -0.360
 0149    55  10.780   0.680  -0.320
 0150    55  11.690   0.230  -0.530
 0150   348  11.880   0.090  -0.740
 0151    55  12.710   0.190  -0.310
 0152    55  10.120   0.850   0.940
 0153    55  12.220   0.120  -0.410
 0154    55  13.010   0.100  -0.410
 0155    55  12.670   0.080  -0.340
 0158    55   9.750   0.320  -0.660
 0175    55   7.880   0.070  -0.680
 0176    55   7.870   0.090  -0.570
 0177    55   8.110   0.400  -0.610
 0178    55   8.480   0.090  -0.880
 0179    55   7.760   0.080  -0.940
 0180    55   7.410   0.170  -0.850
 0181    55   9.340   0.110         
 0182    55   9.600   0.240  -0.750
 0182   390   9.600   0.223  -0.893
 0183    55   9.450   0.050  -0.780
 0200    55  13.350   0.290  -0.270
 0200   390  13.472   0.371   0.049
 0202    55  11.280   0.070  -0.520
 0203    55  13.800   0.530  -0.800
 0203   348  13.960   0.320   0.180
 0204   348  13.880   0.370         
 0206    55  13.630   0.050   0.330
 0206   348  13.810   0.370   0.020
 0210    55  13.200   0.260  -0.170
 0216   348  13.640   1.020   0.740
 0217   348  14.250   0.690   0.160
 0220    55  13.160   0.370  -0.870
 0220   348  14.240   0.420  -0.220
 0221   348  14.430   0.670  -0.120
 0224    55  13.410   0.440   0.280
 0224   348  13.240   0.510  -0.320
 0224   390  13.265   0.494  -0.364
 0228    55  13.290   0.050  -0.160
 0228   348  13.730   0.280         
 0228   390  13.723   0.310  -0.284
 0229    55  13.260   0.070   0.140
 0229   390  13.929   0.349  -0.064
 0231   348  13.530   0.590         
 0235    55  12.900   0.400  -0.070
 0235   348  13.020   0.260  -0.180
 0235   390  13.049   0.303   0.017
 0236   348  14.780   1.030         
 0237    55  13.050   0.400  -0.090
 0237   348  13.130   0.360  -0.320
 0237   390  13.021   0.416  -0.226
 0238    55  13.490   0.500  -0.030
 0238   348  13.560   0.490  -0.220
 0238   390  13.543   0.487  -0.163
 0239    55  13.850   0.410  -0.050
 0239   348  13.620   0.410  -0.320
 0239   390  13.618   0.410  -0.276
 0240    55  13.780   0.310  -0.060
 0240   348  13.890   0.400  -0.240
 0240   390  13.870   0.430  -0.180
 0241    55  13.770   0.870   0.140
 0241   348  14.090   0.410  -0.240
 0241   390  14.071   0.433  -0.131
 0242    55  12.770   0.410   0.230
 0242   348  12.900   0.460  -0.080
 0242   390  12.889   0.443   0.204
 0243    55  13.040   0.140   0.030
 0243   348  13.090   0.260         
 0243   390  13.148   0.263  -0.372
 0245    55  11.630   0.460  -0.380
 0246    55  11.590   0.360  -0.370
 0247    55  13.710  -0.030   0.110
 0248    55  13.360   0.270   0.060
 0251   348  14.700   0.600   0.200
 0252   348  14.870   0.800   0.160
 0253   348  14.060   0.780   0.300
 0254   348  13.540   0.470  -0.200
 0255   348  13.480   0.530   0.100
 0256   348  13.260   0.340  -0.440
 0257   348  14.240   0.530  -0.280
 0258   348  13.860   0.740   0.340
 0259   348  13.420   0.350  -0.340
 0260   348  15.340   0.450   0.220
 0261   348  16.190   0.790         
 0262   348  15.630   0.770         
 0263   348  17.200   1.040         
 0264   348  15.490   1.300         
 0265   348  16.000   2.120         
 0266   348  16.420   1.240         
 0267   348  16.550   1.110         
 0268   348  16.260   0.850         
 0269   348  15.980   0.790         
 0270   348  16.400   0.860         
 0271   348  16.550   0.910         
 0272   348  15.590   0.950         
 0273   348  15.370   0.930         
 0274   348  17.490   0.970         
 0275   348  17.130   1.070         
 0276   348  15.640   0.830         
 0277   348  16.430   1.470         
 0278   348  14.780   0.640         
 0279   348  16.380   1.160         
 0280   348  16.070   0.970         
 0281   348  16.150   1.190         
 0282   348  16.490   0.990         
 0283   348  16.390   1.000         
 0284   348  15.850   0.840         
 0285   348  16.810   0.980         
 0286   348  16.570   0.820         
 0287   348  16.460   0.860         
 0288   348  16.230   0.780         
 0289   348  17.010   1.060         
 0290   348  16.820   1.080         
 0291   348  17.180   1.060         
 0292   348  16.730   1.150         
 0293   348  16.510   0.980         
 0294   348  16.990   1.010         
 0295   348  17.010   1.190         
 0296   348  15.950   0.870         
 0297   348  17.350   1.230         
 0298   348  16.610   0.880         
 0299   348  15.580   0.590         
 0300   348  16.250   0.930         
 0301   348  16.100   0.780         
 0302   348  16.870   1.020         
 0303   348  16.430   0.910         
 0304   348  16.120   0.960         
 0305   348  17.100   0.980         
 0306   348  15.820   1.030         
 0307   348  15.750   0.820         
 0308   348  15.570   1.190         
 0309   348  16.080   0.750         
 0310   348  15.610   0.750         
