UBV CCD observations

  No    Ref    V       B-V     U-B

 0001    39  13.000   1.050   0.910
 0003    39  13.730   0.670   0.190
 0004    39  13.580   1.510   0.340
 0007    39  14.080   0.340   0.100
 0008    39  13.650   1.100   0.910
 1018    39  12.810   1.200   0.050
 1020    39  16.720   1.300   0.320
 1024    39  15.500   1.180   0.040
 1027    39  16.520   1.290   0.320
 1028    39  17.330   1.260   0.350
 1030    39  16.260   1.380   0.250
 1031    39  16.110   2.450   3.000
 1032    39  15.340   1.160   0.130
 1044    39  16.000   1.180   0.100
 1045    39  17.260   1.360   0.270
 1066    39  17.180   1.380   0.230
 1070    39  17.790   1.510   0.570
 1083    39  19.010   1.690   0.690
 1087    39  18.330   1.290   0.370
 1096    39  16.020   1.180   0.190
 1099    39  17.270   1.290   0.230
 1101    39  16.410   1.290   0.240
 1105    39  17.690   1.350   0.320
 1113    39  18.640   1.380   0.500
 1120    39  16.130   1.500   0.310
 1123    39  16.250   1.270   0.300
 1125    39  17.640   1.390   0.210
 1129    39  17.190   1.430   0.270
 1130    39  15.530   1.250   0.300
 1135    39  18.740   1.330   0.390
 1136    39  17.040   1.350   0.230
 1137    39  19.010   1.670   0.380
 1138    39  17.440   1.600   0.340
 1151    39  14.330   1.330   0.130
 1156    39  16.540   1.420   0.380
 1157    39  14.140   1.360   0.160
 1161    39  16.730   1.450   0.220
 1163    39  16.650   1.390   0.270
 1164    39  18.120   1.350   0.340
 1165    39  15.540   1.510   0.360
 1167    39  14.190   1.290  -0.020
 1168    39  14.770   1.100   0.120
 1170    39  18.190   1.440   0.430
 1171    39  14.440   1.390   0.260
 1174    39  16.670   1.340   0.360
 1175    39  13.930   1.220   0.180
 1176    39  18.000   1.500   0.450
 1178    39  17.810   2.080   1.910
 1180    39  17.900   1.510   0.570
 1182    39  14.430   1.260   0.150
 1183    39  13.610   1.420   0.300
 1188    39  13.320   1.340   0.120
 1190    39  15.540   1.420   0.140
 1191    39  16.480   1.430   0.260
 1196    39  15.950   1.310   0.170
 1199    39  14.390   1.350   0.180
 1200    39  17.410   1.420   0.390
 1201    39  16.850   1.380   0.220
 1202    39  18.040   1.500   0.410
 1203    39  13.220   1.440   0.420
 1210    39  16.040   1.440   0.160
 1213    39  15.860   1.220   0.400
 1219    39  16.430   1.450   0.280
 1222    39  17.100   1.470   0.330
 1223    39  15.720   1.430   0.310
 1224    39  17.800   1.410   0.380
 1225    39  18.750   1.580   0.430
 1228    39  15.640   1.410   0.310
 1229    39  15.580   1.400   0.290
 1231    39  18.610   1.540   0.350
 1233    39  16.060   1.320   0.180
 1235    39  16.500   1.540   0.330
 1249    39  16.290   1.410   0.210
 1254    39  19.280   1.640   0.460
 1256    39  18.970   1.770   0.370
 1262    39  18.500   1.700   0.500
 1263    39  14.910   1.590   0.350
 1264    39  17.920   1.660   0.440
 1288    39  18.800   1.380   0.550
 1301    39  17.190   1.460   0.470
 1314    39  16.040   2.440   3.730
 1327    39  18.720   1.470   0.600
 1352    39  18.100   1.750   0.660
 1355    39  16.840   1.440   0.290
 1383    39  16.520   1.580   0.410
 1390    39  19.370   1.600   0.560
 1441    39  13.890   1.440   0.090
 1442    39  16.800   1.420   0.290
 1444    39  13.430   1.320   0.230
