UBV CCD observations

  No    Ref    V       B-V     U-B

 0101   293  14.287   0.489   0.162
 0110   293  13.427   1.500   1.677
 0111   293  12.826   0.442  -0.272
 1001   293   9.977  -0.061  -0.582
 1002   293  10.037   0.035   0.217
 1003   293  10.244   0.044   0.212
 1004   293  10.062   0.990   0.888
 1005   293  10.405   0.890   0.707
 1006   293  10.765   0.553   0.197
 1007   293  11.056   0.243   0.174
 1008   293  11.165  -0.037  -0.027
 1009   293  11.157   1.236   0.122
 1010   293  11.399   0.007   0.160
 1011   293  11.648   1.748   1.319
 1012   293  12.008   0.704   0.613
 1013   293  12.229   0.015   0.126
 1014   293  12.092   0.740   0.470
 1015   293  12.461   0.227   0.222
 1017   293  12.589   0.937   0.687
 1018   293  12.831   0.428   0.010
 1019   293  12.789   1.946   2.626
 1020   293  12.607   1.089   1.095
 1021   293  12.877   0.564   0.100
 1022   293  13.012   0.256   0.234
 1023   293  13.089   0.268   0.205
 1024   293  13.095   0.558   0.153
 1025   293  13.252   0.614   0.216
 1026   293  13.416   0.409   0.083
 1027   293  13.442   0.441   0.041
 1028   293  13.587   0.374   0.020
 1029   293  13.594   0.432   0.201
 1031   293  13.650   0.252   0.390
 1032   293  13.680   0.173   0.337
 1033   293  13.736   0.389   0.335
 1034   293  13.772   0.240   0.243
 1035   293  13.835   1.937   2.000
 1036   293  13.755   0.614   0.168
 1037   293  13.910   0.398   0.121
 1038   293  13.906   0.636   0.180
 1039   293  14.052   0.222   0.325
 1040   293  13.990   0.746   0.396
 1041   293  14.133   0.489   0.114
 1042   293  14.109   0.408   0.331
 1043   293  14.166   0.420   0.276
 1044   293  14.247   0.781  -0.011
 1045   293  14.316   1.465   1.343
 1046   293  14.322   0.808   0.100
 1048   293  14.242   1.557   1.957
 1049   293  14.273   0.584   0.200
 1050   293  14.300   0.496   0.155
 1051   293  14.445   0.490   0.073
 1052   293  14.301   1.007   0.723
 1053   293  14.481   0.639   0.269
 1054   293  14.597   0.392   0.250
 1055   293  14.559   0.662   0.279
 1056   293  15.103   2.160         
 1057   293  14.687   0.749   0.331
 1058   293  14.734   0.369   0.515
 1059   293  14.716   0.583   0.046
 1060   293  14.787   0.573   0.142
 1061   293  14.756   0.687   0.368
 1062   293  14.828   0.443   0.241
 1063   293  14.859   0.583   0.071
 1064   293  14.857   0.422   0.234
 1065   293  14.873   0.511   0.506
 1066   293  14.902   0.881   0.434
 1067   293  15.052   0.510   0.080
 1068   293  15.047   0.407   0.260
 1069   293  15.087   0.509   0.153
 1070   293  16.175   2.530         
 1071   293  15.085   0.554   0.214
 1072   293  15.167   1.041   0.354
 1073   293  15.198   0.544   0.125
 1074   293  15.431   1.587         
 1075   293  15.293   0.519   0.182
 1076   293  15.495   1.424   1.355
 1077   293  15.335   0.523   0.161
 1078   293  15.378   0.604   0.176
 1080   293  15.441   0.489   0.557
 1081   293  15.440   0.766   0.686
 1082   293  15.493   0.549  -0.015
 1083   293  15.515   0.536   0.157
 1084   293  15.484   0.715   0.259
 1085   293  15.490   0.671   0.196
 1086   293  15.437   0.845   0.551
 1087   293  15.483   0.710   0.367
 1088   293  15.579   1.146   1.114
 1089   293  15.621   0.887         
 1090   293  15.590   0.546   0.161
 1091   293  15.575   0.552   0.469
 1092   293  15.601   0.886   0.410
 1093   293  15.621   0.689   0.709
 1094   293  15.669   0.567   0.151
 1095   293  15.533   0.523   0.531
 1096   293  15.693   0.682   0.628
 1097   293  15.754   0.610   0.123
 1098   293  15.761   0.673   0.495
 1099   293  15.796   0.753   0.366
 1100   293  15.898   1.152         
 1101   293  15.795   1.029   0.812
 1102   293  15.757   0.721         
 1103   293  15.914   1.093   1.083
 1104   293  15.682   0.764   0.443
 1105   293  15.796   0.755   0.428
 1106   293  15.817   0.614   0.453
 1107   293  15.865   0.660   0.185
 1108   293  15.864   0.907   0.438
 1109   293  15.829   0.589   0.220
 1110   293  16.443   1.570         
 1111   293  15.863   0.658   0.230
 1112   293  15.941   0.874   0.437
 1113   293  15.948   0.729   0.363
 1114   293  16.030   0.597   0.054
 1115   293  16.046   0.689   0.355
 1116   293  16.060   0.652   0.279
