UBV CCD observations

  No    Ref    V       B-V     U-B

 0001    55   8.110   0.190  -0.750
 0002    55   8.490   0.060  -0.200
 0007    55   9.320   0.240  -0.750
 0011    55   9.690   0.110  -0.820
 0012    55   9.520   0.680  -0.210
 0013   517   8.990   0.040  -0.830
 0015   293   8.656   0.694   0.192
 0015   517   8.630   0.700   0.070
 0016    55   9.860   0.120  -0.800
 0017    55   7.880   1.330   1.270
 0018    55  11.100   0.210  -0.750
 0022    55   9.750   0.320  -0.660
 0025   517   9.470   0.090  -0.420
 0028   293   9.778   0.073  -0.768
 0028   517   9.740   0.050  -0.840
 0029   293  10.284   0.112  -0.265
 0029   517  10.270   0.100  -0.330
 0030   293  10.801   0.109  -0.653
 0030   517  10.840   0.100  -0.760
 0032    55   8.500   0.180  -0.830
 0038    55  10.190   0.320  -0.700
 0039    55  12.510   0.310  -0.580
 0040    55  10.650   0.910   1.060
 0041    55  11.020   0.200  -0.680
 0042    55  10.540   0.600   0.360
 0043    55  10.430   0.140  -0.770
 0044    55  10.400   0.060  -0.650
 0047    55  10.600   0.200  -0.750
 0049   293  11.025   0.200  -0.220
 0049   517  11.020   0.190  -0.200
 0053    55  13.060  -0.500  -0.850
 0054    55  12.780   0.540   0.260
 0055    55  11.750   0.320         
 0056    55  13.440   0.120         
 0057    55   9.900   0.150   0.060
 0058    55  12.610   0.440   0.090
 0060    55  12.650   0.400  -0.440
 0061    55  11.090   0.350  -1.350
 0069   517   9.870   0.030  -0.930
 0070   517  11.000   0.990   0.710
 0071   517  11.560   1.050   0.770
 0072   517  13.300   0.290  -0.160
 0073   517  13.010   1.130   0.750
 0076   517  12.420   0.190  -0.480
 0078   517  11.560   0.230  -0.370
 0080    55  10.320   0.130  -0.480
 0097    55  10.420   0.410  -0.480
 0098    55  10.030   0.570  -0.220
 0118    55  10.770   0.100  -0.270
 0125    55  12.270   0.360  -0.660
 0126    55  11.850   0.850   1.590
 0127    55  11.710   0.950   0.550
 0128    55  11.430   0.210         
 0130    55  11.240   0.950   1.280
 0131    55  11.500   0.190  -0.550
 0132    55  11.400   0.060  -0.420
 0133    55  11.460   0.090  -0.370
 1001    55  12.920   0.550  -0.440
 1002    55  14.230   0.900  -1.450
 1003    55  12.470   0.380  -0.800
 1005    55  13.340   0.760  -0.300
 1006    55  14.060   1.120  -1.570
 1007    55  13.630   0.440   1.090
 1011    55  13.870   0.880  -1.840
 1012    55  12.720   0.530   0.460
 1013    55  13.510   0.760  -0.800
 1014    55  12.840   0.850  -0.670
 1015    55  12.090   0.060  -0.500
 1016    55  13.740  -0.050   0.240
 1018    55  14.200   0.860  -1.770
 1021    55  13.750   0.230   0.740
 1023    55  13.650   0.500  -0.290
 1025    55  14.230   1.740  -2.640
 1029    55  13.960   0.560  -1.150
 1030    55  13.120   0.100  -0.730
 1033    55  13.440   0.510  -0.690
 1034    55  13.470   0.060  -0.250
 1036    55   9.860   0.100  -0.880
 1037    55  12.680   0.600  -0.130
 1040    55  12.720   1.160   0.560
 1044    55  12.890   0.360  -0.240
 1045    55  14.580   1.000  -1.780
 1047    55  13.790   0.440  -0.820
 1048    55  14.640   0.470  -1.660
 1049    55  13.470   0.490  -0.870
 1050    55  13.680   0.780  -1.080
 1051    55  13.150   0.070  -0.430
 1052    55  14.470   1.750  -2.960
 1054    55  13.760   0.710  -0.920
 1055    55  13.580   0.510  -1.150
 1057    55  13.460   0.540  -0.640
 1058    55  13.960   0.620  -1.290
 1060    55  13.400   0.290  -0.820
 1065    55  13.850   0.790  -1.560
 1069    55  13.740   0.240  -0.700
 1072    55  14.470   0.570  -2.060
 1076    55  12.420   0.260  -0.350
 1078    55  13.640   0.650  -1.080
 1079    55  14.080   1.250  -2.130
 1080    55  14.020   0.960  -1.300
 1084    55  13.260   0.290  -0.830
 1085    55  12.770   0.680  -0.490
 1100    55  13.900   0.540  -1.060
 1110    55  14.800   1.520  -2.420
 1112    55  13.330   0.130  -0.840
 1113    55  13.280   0.630  -0.630
 1114    55  13.310   0.230  -0.390
 1125    55  13.800   0.360  -1.040
 1137    55  12.690   0.340  -0.830
 1140    55  14.100   0.840  -1.540
 1143    55  14.300   0.340   0.440
 1143   517  14.620   0.420  -0.280
 1153    55  13.390   0.380  -0.940
 1156    55  13.750   0.410  -0.090
 1167    55  10.970   0.120  -0.770
 1172    55  15.000   0.570  -0.640
 1185    55  14.010   0.450  -1.280
 1193    55  13.210   1.070  -0.740
 1207    55  12.490   0.240  -0.740
 1215    55  14.180   0.540  -0.680
 1217    55  14.210   0.350  -1.350
 1221    55  14.310   1.390  -2.360
 1223    55  13.900   0.240   0.030
 1225    55  13.600   0.450  -0.180
 1226    55  12.500   0.500  -0.880
 1231    55  14.440   0.560  -0.690
 1232    55  13.260   0.450   0.040
 1234    55  12.910   0.460   1.430
 1235    55  14.350   0.310   0.460
 1242    55  12.940   0.180  -0.620
 1244    55  13.210   0.730  -0.950
