%UBV CCD observations
%
% No    Ref    V       B-V     U-B
%
 0001   476  18.552   1.288   0.684
 0002   476  17.023   1.075   0.423
 0003   476  17.640   1.555   1.013
 0004   476  18.011   1.322   1.160
 0005   476  19.508   1.258   0.634
 0006   476  18.690   1.034   0.430
 0007   476  20.045   1.079   0.695
 0008   476  15.347   0.750   0.263
 0009   476  19.379   1.208   0.501
 0010   476  17.880   1.031   0.383
 0011   476  20.231   2.053   1.268
 0012   476  19.751   1.246   0.707
 0013   476  19.827   1.453   0.580
 0014   476  20.272   0.999   0.541
 0015   476  19.534   0.925   0.380
 0016   476  15.821   0.861   0.397
 0017   476  18.956   1.629   1.273
 0018   476  20.381   0.972   0.654
 0019   476  20.371   1.507   0.615
 0020   476  19.518   1.033   0.394
 0021   476  20.111   1.579   0.890
 0022   476  20.116   1.362   0.502
 0023   476  18.779   1.676   1.694
 0024   476  19.910   1.398   1.255
 0025   476  16.775   0.530   0.108
 0026   476  18.514   1.115   0.569
 0027   476  20.223   0.888   0.520
 0028   476  18.802   1.232   0.543
 0029   476  18.761   0.979   0.595
 0030   476  16.744   0.933   0.415
 0031   476  20.271   1.374   0.898
 0032   476  19.135   1.251   0.453
 0033   476  16.466   0.783   0.517
 0034   476  20.839   1.278  -0.000
 0035   476  17.050   0.934   0.460
 0036   476  20.101   1.793   0.126
 0037   476  20.683   1.232   0.279
 0038   476  19.386   1.290   0.697
 0039   476  20.345   1.370   0.989
 0040   476  17.024   1.015   0.475
 0041   476  18.723   1.125   0.363
 0042   476  19.803   1.078   0.901
 0043   476  16.670   1.031   0.778
 0044   476  18.053   1.197   0.615
 0045   476  15.902   0.705   0.481
 0046   476  15.597   1.563   1.198
 0047   476  19.449   1.143   0.614
 0048   476  20.183   0.924   0.442
 0049   476  16.277   0.822   0.523
 0050   476  19.506   1.081   0.506
 0051   476  20.615   1.322   1.880
 0052   476  20.366   1.064   0.592
 0053   476  19.572   1.300   0.745
 0054   476  18.714   0.760   0.404
 0055   476  18.757   0.770   0.439
 0056   476  20.586   1.106   1.040
 0057   476  19.646   2.136         
 0058   476  17.211   1.021   1.525
 0059   476  18.770   1.646   0.737
 0060   476  11.658   1.042   1.311
 0061   476  19.434   1.138   0.409
 0062   476  17.256   0.944   0.443
 0063   476  19.906   1.134   0.654
 0064   476  11.539   0.554   0.885
 0065   476  11.565   0.629   1.284
 0066   476  19.599   1.764         
 0067   476  20.903   2.229  -0.238
 0068   476  20.021   1.269   0.380
 0069   476  16.748   0.802   0.475
 0070   476  16.621   1.587   1.267
 0071   476  19.416   1.325   1.112
 0072   476  19.808   0.811   0.648
 0073   476  19.364   1.195   0.692
 0074   476  19.301   1.175   0.334
 0076   476  15.810   0.803   0.526
 0077   476  20.230   1.548   0.786
 0078   476  18.774   1.335   0.814
 0079   476  17.454   1.240   0.564
 0080   476  19.794   0.819   0.376
 0081   476  14.617   0.717   0.283
 0082   476  20.232   1.884   1.331
 0083   476  19.123   1.157   0.733
 0084   476  15.037   0.589   0.365
 0085   476  20.233   1.928   1.359
 0086   476  15.512   0.694   0.425
 0087   476  19.290   1.144   0.723
 0088   476  17.818   1.043   0.462
 0089   476  18.865   1.369   0.813
 0090   476  19.759   0.995   0.596
 0091   476  16.563   0.857   0.631
 0092   476  17.924   0.920   0.412
 0093   476  18.796   1.099   0.542
 0094   476  18.480   1.185   0.575
 0095   476  18.590   1.197   0.614
 0096   476  18.195   1.087   0.454
 0097   476  17.276   0.967   0.343
 0098   476  16.926   0.873   0.467
 0099   476  16.516   0.752   0.492
 0100   476  15.882   0.678   0.460
 0101   476  19.143   1.165   0.454
 0102   476  19.563   1.223   0.667
 0103   476  19.774   1.161   0.855
 0104   476  18.065   1.218   0.549
 0105   476  17.469   1.033   0.379
 0106   476  17.734   1.004   0.370
 0107   476  16.547   0.825   0.523
 0108   476  17.250   1.316   1.005
 0109   476  18.301   1.085   0.421
 0110   476  20.487   1.647         
 0111   476  18.942   1.340   1.319
 0112   476  20.185   1.420   0.318
 0113   476  20.232   0.991   0.581
 0114   476  17.746   1.034   0.479
 0115   476  17.876   0.993   0.433
 0116   476  20.259   1.273   0.873
 0117   476  14.014   0.610   0.409
 0118   476  18.572   1.144   0.494
 0119   476  18.522   1.074   0.354
 0120   476  20.762   1.868   0.716
 0121   476  19.144   1.211   0.506
 0122   476  20.640   1.590         
 0123   476  13.882   0.636   0.443
 0124   476  18.729   1.154   0.533
 0125   476  20.081   1.155   1.079
 0126   476  17.720   0.973   0.538
 0127   476  15.854   0.695   0.475
 0128   476  19.252   1.185   0.770
 0129   476  18.657   1.258   0.581
 0130   476  16.616   0.862   0.296
 0131   476  15.743   0.655   0.452
 0132   476  14.574   1.492   1.124
 0133   476  20.462   1.471   0.329
 0134   476  18.615   1.057   0.466
 0135   476  21.402   1.501         
 0136   476  19.223   1.111   0.752
 0137   476  20.399   1.439   1.293
 0138   476  20.524   1.126   0.704
 0139   476  20.872   1.888   0.720
 0140   476  18.916   1.103   0.477
 0141   476  15.197   0.694   0.412
 0142   476  17.001   0.846   0.465
 0143   476  20.140   0.985   0.778
 0144   476  18.189   1.063   0.404
 0145   476  18.419   1.255   0.617
 0146   476  19.032   1.253   0.612
 0147   476  16.816   0.874   0.488
 0148   476  16.407   0.788   0.557
 0149   476  19.535   1.449   0.394
 0150   476  18.141   1.034   0.496
 0151   476  14.604   1.473   1.061
