UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   547  10.511   0.900   1.090
 0002   547  10.721   0.239  -0.041
 0003   547  11.217   1.468   1.927
 0004   547  11.396   0.441  -0.021
 0005   547  11.709   2.366   2.983
 0006   547  11.835  -0.953         
 0007   547  11.952  -1.053         
 0008   547  12.033   1.166   0.890
 0010   547  12.449   0.556   0.044
 0011   547  12.558   0.495   0.100
 0012   547  12.597   0.460  -0.055
 0013   547  12.618  -0.760         
 0014   547  12.689   1.284   1.368
 0015   547  12.742   0.438  -0.009
 0016   547  12.792   0.484  -0.030
 0017   547  12.806   0.316   0.103
 0018   547  12.901   2.448   3.271
 0019   547  13.007   0.386  -0.367
 0020   547  13.080   0.980   0.863
 0021   547  13.108   0.300  -0.053
 0022   547  13.127   0.721   0.372
 0023   547  13.127   1.029   1.138
 0024   547  13.135   0.273  -0.089
 0025   547  13.172  -1.014   0.545
 0026   547  13.202   0.491   0.323
 0027   547  13.206   0.938   0.834
 0028   547  13.211   0.860   0.664
 0029   547  13.226   2.242  -0.759
 0030   547  13.283   1.368   1.364
 0031   547  13.345   0.693   0.295
 0032   547  13.353   0.417  -0.107
 0033   547  13.439   0.661   0.228
 0034   547  13.540   0.548  -0.040
 0035   547  13.601   1.024   0.784
 0037   547  13.665   0.726   0.374
 0038   547  13.669   1.362   1.206
 0039   547  13.687  -0.901   0.023
 0040   547  13.740  -0.768   0.611
 0041   547  13.774   0.462   0.113
 0042   547  13.838   2.093   2.895
 0044   547  14.066   0.951   0.592
 0045   547  14.073   1.286   1.008
 0046   547  14.125   0.592   0.019
 0047   547  14.143   1.229   1.117
 0048   547  14.165   0.676   0.208
 0049   547  14.207   1.143   1.096
 0050   547  14.237   0.461   0.070
 0051   547  14.253   1.396   1.318
 0053   547  14.256   1.013   0.940
 0054   547  14.258   0.795   0.343
 0055   547  14.299   1.193   1.107
 0056   547  14.346   1.760  -0.590
 0057   547  14.359   0.783   0.364
 0058   547  14.364  -0.240         
 0059   547  14.372   0.680   0.148
 0060   547  14.377   0.121         
 0061   547  14.381   1.175   1.088
 0062   547  14.412   1.138   0.981
 0063   547  14.413   0.913   0.443
 0064   547  14.414   0.720   0.286
 0065   547  14.454   0.655   0.104
 0066   547  14.489   0.722   0.218
 0067   547  14.512   0.712   0.240
 0068   547  14.524   1.153   0.902
 0069   547  14.588   0.476   0.215
 0070   547  14.672   0.872   0.543
 0071   547  14.678   1.489   1.497
 0072   547  14.701   1.733   1.755
 0073   547  14.702   0.984   0.736
 0074   547  14.788   2.005   2.617
 0075   547  14.800   1.603   1.876
 0076   547  14.854   0.865   0.324
 0077   547  11.455   0.462   0.054
 0078   547  11.542   0.636   0.213
 0079   547  12.125   1.028   0.982
 0080   547  12.449   1.210   1.275
 0081   547  12.461   1.199   1.234
 0082   547  12.567   1.205   1.288
 0083   547  12.571   1.258   1.279
 0084   547  12.658   1.234   1.326
 0085   547  12.738   1.780   2.184
 0086   547  12.819   0.554   0.205
 0087   547  13.431   0.549   0.070
 0088   547  13.660   0.524   0.015
 0089   547  14.043   0.538   0.104
 0090   547  14.119   0.580   0.041
 0091   547  14.224   0.613   0.126
 0092   547  14.326   0.568   0.096
 0093   547  14.517   0.490   0.401
 0094   547  14.528   0.587   0.045
 0095   547  14.532   0.680   0.255
 0096   547  14.554   0.602   0.182
 0097   547  14.585   0.654   0.142
