UBV CCD observations

  No    Ref    V       B-V     U-B

 4437    32  14.855   0.856   0.319
 4662    32  13.261   0.573   0.021
 4918    32  16.338   1.068   0.028
 4924    32  18.336   0.869  -0.297
 4946    32  18.196   0.835  -0.258
 4964    32  15.412   0.764   0.107
 4974    32  17.009   0.803   0.061
 4982    32  15.713   0.683   0.212
 5112    32  18.350   1.082   0.076
 5115    32  18.617   0.909  -0.871
 5166    32  17.190   0.836  -0.140
 5171    32  17.185   0.888  -0.335
 5177    32  17.665   0.870   1.050
 5178    32  15.831   1.364   0.920
 5216    32  18.275   0.769  -0.256
 5217    32  14.192   0.755   0.250
 5275    32  16.730   0.821   0.060
 5285    32  18.099   0.772   1.384
 5310    32  12.272   0.952   0.513
 5352    32  17.757   0.553   0.219
 5355    32  17.211   0.973   0.288
 5359    32  17.337   0.912   0.204
 5368    32  17.764   0.906  -0.282
 5419    32  18.507   0.753   0.345
 5426    32  16.953   0.823   0.256
 5430    32  18.210   0.812  -0.806
 5482    32  17.739   0.848   0.092
 5483    32  17.012   1.138   0.009
 5489    32  12.940   0.578   0.068
 5490    32  17.728   0.894  -0.042
 5505    32  11.903   0.586   0.090
 5523    32  17.548   1.020   0.759
 5535    32  16.878   1.104   1.375
 5558    32  14.595   0.846   0.336
 5565    32  12.565   0.548   0.075
 5599    32  18.108   0.752  -0.777
 5607    32  18.117   0.832  -0.017
 5609    32  16.495   1.028   0.323
 5619    32  15.321   0.933   0.528
 5622    32  18.348   0.644   0.083
 5671    32  17.826   0.983  -0.782
 5671    32  17.829   0.985  -0.790
 5704    32  16.506   0.777   0.173
 5714    32  16.318   0.835   0.258
 5734    32  17.185   0.933   1.086
 5740    32  17.439   0.707  -0.062
 5780    32  16.879   0.808   0.243
 5797    32  12.354   0.574   0.107
 5807    32  17.868   0.890  -0.329
 5813    32  16.162   0.963   0.441
 5845    32  18.905   0.682  -0.104
 5869    32  12.986   0.737  -0.037
 5883    32  17.701   0.622   0.072
 5890    32  17.670   0.984   0.043
 5893    32  16.219   0.305   0.106
 5897    32  18.673   0.713  -0.141
 5928    32  17.320   0.865  -0.038
 5930    32  11.996   0.322   0.183
 5936    32  17.321   0.742   0.251
 5941    32  14.644   1.141   0.784
 5953    32  17.893   0.864  -0.634
 5963    32  14.643   1.154   0.768
 6014    32  17.261   0.807   0.034
 6031    32  18.126   0.751  -0.008
 6048    32  18.715   0.564  -0.509
 6058    32  17.274   0.688   0.516
 6098    32  15.941   0.820   0.377
 6117    32  17.679   0.832   0.938
 6130    32  17.690   1.039   0.193
 6142    32  17.576   1.112   0.088
 6155    32  16.507   0.963   0.468
 6173    32  17.513   0.917  -0.091
 6192    32  15.150   0.876   0.490
 6211    32  17.880   1.001  -0.037
 6215    32  18.651   0.629  -0.280
 6220    32  16.899   0.728   0.200
 6226    32  13.125   1.038   0.761
 6230    32  15.637   0.787   0.492
 6248    32  17.433   0.877  -0.329
 6267    32  13.965   1.054   0.656
 6277    32  12.671   0.560   0.075
 6281    32  16.444   0.626  -0.074
 6282    32  14.118   0.620   0.054
 6283    32  16.499   0.931   0.920
 6326    32  15.951   0.899   0.398
 6332    32  16.431   0.789   0.315
 6333    32  10.963   0.701   1.338
 6342    32  12.187   0.564   0.103
 6352    32  18.602   0.544   0.182
 6361    32  13.155   0.330   0.163
 6375    32  12.080   0.612   0.117
 6384    32  16.039   0.803   0.068
 6394    32  16.900   1.117   0.798
 6394    32  16.901   1.115   0.826
 6415    32  16.149   0.971   0.415
 6450    11  15.606   0.646         
 6450    32  15.649   0.635   0.249
 6474    32  18.058   0.857   0.522
 6491    32  17.901   0.653   0.186
 6502    32  16.766   0.716   0.592
 6504    32  17.795   0.823  -0.281
 6530    11  15.745   0.774         
 6530    32  15.796   0.747   0.033
 6549    32  17.251   0.677   0.269
 6569    32  18.474   1.398  -0.236
 6577    32  18.212   0.615   0.161
 6585    32  18.366   1.087  -0.833
 6590    32  17.970   0.802  -0.626
 6606    32  16.878   0.818   0.010
 6610    32  17.442   0.869   0.147
 6621    11  16.216   0.979         
 6621    32  16.252   0.963   0.342
 6626    32  17.125   1.236  -0.243
 6627    32  17.978   0.967   0.426
 6631    32  17.610   0.742   0.435
 6635    32  18.535   0.732  -0.338
 6655    32  17.580   0.944   0.248
 6658    32  18.365   1.231  -0.228
 6675    32  17.684   0.755  -0.084
 6675    32  17.685   0.753  -0.079
 6677    11  14.996   0.899         
 6677    32  15.016   0.869   0.372
 6679    32  17.426   0.836   0.449
 6681    32  14.217   1.240   1.156
 6686    32  11.065   0.848   1.263
 6709    32  17.843   0.813  -0.716
 6715    11  16.102   0.761         
 6715    32  16.159   0.733   0.312
 6725    11  13.257   0.591         
 6725    32  13.244   0.608   0.073
 6726    11  13.242   0.609         
 6726    32  13.227   0.620   0.054
 6733    11  12.495   0.537         
 6733    32  12.462   0.540   0.044
 6734    32  17.342   1.205   0.236
 6747    32  17.729   0.889  -0.086
 6759    11  15.993   0.961         
 6759    32  16.040   0.887   0.381
 6770    32  13.007   0.551  -0.017
 6789    11  16.835   0.793         
 6789    32  17.517   1.019   0.033
 6813    32  18.969   0.638  -0.533
 6859    32  18.622   0.748  -0.995
 6870    11  16.122   1.177         
 6870    32  16.135   1.093   0.536
 6905    11  12.937   0.536         
 6905    32  12.922   0.545   0.050
 6913    11  14.290   0.589         
 6970    11  16.370   0.847         
 6970    32  16.435   0.802   0.309
 6980    32  18.262   0.849   0.023
 7007    32  16.932   1.175   0.117
 7016    32  13.407   0.575   0.020
 7023    11  15.575   0.775         
 7023    32  15.670   0.723   0.125
 7034    32  18.352   0.469  -0.193
 7034    32  18.354   0.462  -0.001
 7036    32  14.048   0.640  -0.111
 7040    32  18.157   0.923   0.548
 7057    32  17.081   0.898   0.428
 7075    11  16.521   0.754         
 7075    32  16.557   0.740   0.176
 7088    32  18.374   0.737  -0.604
 7113    32  16.376   0.800   0.452
 7129    32  17.381   0.850  -0.628
 7130    32  18.540   0.909  -0.962
 7138    32  17.278   0.839  -0.219
 7145    32  16.095   0.908   0.441
 7161    32  17.220   0.946  -0.128
 7163    32  17.224   0.744   0.279
 7199    11  14.818   0.743         
 7199    32  14.853   0.764   0.139
 7230    32  18.542   0.844   1.244
 7293    32  18.224   0.682  -0.800
 7307    32  17.284   0.879  -0.724
 7309    11  13.123   0.558         
 7309    32  13.103   0.582   0.018
 7327    32  16.468   1.272  -0.302
 7330    32  17.373   0.669   0.135
 7338    11  16.722   1.186         
 7338    32  16.706   1.157   0.054
 7356    11  16.066   0.971         
 7356    32  16.148   0.901   0.376
 7369    32  17.629   0.972   0.091
 7406    11  14.749   1.880         
 7406    32  14.319   0.614   0.041
 7492    11  13.560   0.670         
 7643    11  16.505   0.850         
 7703    11  16.975   1.158         
 7743    11  16.000   0.813         
 7880    11  16.708   1.072         
 7896    11  14.525   0.773         
 7947    11  13.465   1.379         
 7963    11  16.018   0.991         
 8161    11  16.130   0.728         
 8223    11  16.382   0.821         
 8228    11  16.874   0.893         
 8263    11  12.063   0.620         
 8293    11  16.930   0.863         
 8399    11  15.520   0.950         
 8425    11  15.550   0.918         
 8443    11  15.999   0.867         
 8455    11  15.209   1.321         
 8463    11  16.598   1.308         
 8506    11  12.598   0.543         
 8571    11  14.130   1.410         
 8610    11  16.362   1.287         
 8612    11  15.583   0.946         
 8619    11  13.915   1.194         
 8644    11  16.772   0.828         
 8764    11  16.950   0.818         
 8782    11  14.545   0.705         
 8797    11  12.420   0.543         
 8803    11  13.699   0.594         
 8804    11  16.333   0.991         
 8826    11  14.159   0.630         
 8837    11  15.258   0.799         
 8878    11  13.663   0.626         
 8921    11  16.381   0.983         
 8943    11  15.093   1.270         
 8958    11  16.562   0.851         
 9054    11  14.038   0.612         
 9059    11  14.139   0.628         
 9088    11  13.070   0.537         
 9115    11  12.927   0.556         
 9200    11  15.398   0.804         
 9217    11  16.958   0.804         
 9278    11  12.875   0.563         
 9338    11  15.762   0.692         
 9373    11  14.464   0.847         
 9380    11  15.976   0.937         
 9487    11  14.994   0.604         
 9488    11  13.572   1.157         
 9500    11  15.407   1.003         
 9506    11  16.970   0.848         
 9536    11  12.185   0.599         
 9544    11  15.639   0.812         
 9592    11  16.864   0.837         
 9607    11  16.971   0.792         
 9629    11  15.201   1.198         
 9673    11  16.874   1.083         
 9736    11  15.884   0.793         
 9745    11  13.442   0.642         
 9826    11  12.136   0.724         
 9913    11  16.269   0.733         
 10011    11  13.183   1.289         
 10027    11  16.154   0.795         
 10029    11  12.240   0.606         
 10054    11  15.993   1.456         
 10059    11  12.404   0.317         
 10108    11  16.529   0.991         
 10221    11  16.679   1.099         
 10304    11  16.994   0.782         
 10374    11  13.907   1.624         
 10375    11  16.630   1.264         
 10402    11  15.879   0.973         
 10488    11  15.708   0.945         
 10515    11  16.968   0.654         
 10520    11  16.057   0.822         
 10524    11  15.243   0.869         
 10679    11  15.585   0.906         
 10742    11  16.803   0.762         
 10807    11  14.022   0.631         
 10815    11  16.008   1.021         
 10883    11  16.768   1.029         
 10948    11  15.857   1.000         
 10981    11  16.363   0.664         
 11008    11  12.259   0.594         
 11018    11  16.430   0.796         
 11035    11  16.101   0.898         
 11127    11  16.148   0.739         
 11156    11  13.823   0.577         
 11168    11  15.568   0.903         
 11176    11  15.164   0.942         
 11227    11  16.625   0.963         
 11252    11  15.872   0.721         
 11268    11  16.223   0.861         
 11535    11  16.599   1.068         
 11538    11  15.871   1.247
