UBV CCD observations

  No    Ref    V       B-V     U-B

 0016   391  11.620   1.310   1.020
 0025   391  11.650   1.460   0.980
 0030   391  12.470   1.160   1.010
 0032   391   9.460   0.600   0.040
 0033   391  10.630   0.600   0.060
 0034   391  10.540   0.690   0.240
 0036   391   8.400   0.640   0.140
 0037   391  10.940   0.770   0.260
 0038   391   8.260   0.900   0.580
 0041   391  10.340   0.930   0.560
 0042   391  11.070   0.970  -0.490
 0043   391  13.840   1.520   0.920
 0044   391  11.620   1.220   0.940
 0046   391  11.070   1.480   1.130
 0048   391   9.920   0.590   0.070
 0052   391  12.040   1.490   0.740
 0064   391  12.850   1.530   1.000
 0065   391  10.930   1.440   1.000
 0067   391   8.190   0.660   0.180
 0068   391   8.900   1.240   1.090
 0070   391  11.350   1.140   0.920
 0075   391  11.370   1.470   0.950
 0077   391  12.230   1.460   0.850
 0084   391   9.320   0.570   0.040
 0088   391  14.000   1.430   1.400
 0089   391  11.260   1.260   0.970
 0117   391  12.960   1.430   0.810
