UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   264  10.237   1.032   0.629
 0002   264  10.703   1.061   0.687
 0003   264  11.436   0.059  -0.730
 0004   264  11.682   0.101  83.874
 0005   264  12.171   0.063  -0.153
 0006   264  12.561   0.308  -0.606
 0007   264  12.490   0.372   0.062
 0008   264  12.269   1.316   1.165
 0009   264  12.155   1.449   1.471
 0010   264  12.315   1.243   1.106
 0011   264  12.346   1.352   1.209
 0012   264  12.777   0.244   0.157
 0013   264  12.939   0.280   0.119
 0014   264  12.653   1.231   1.083
 0015   264  12.968   0.344   0.259
 0016   264  13.286   0.653   0.015
 0017   264  13.403   0.477  -0.052
 0018   264  13.143   1.188   0.751
 0019   264  12.982   1.323   1.402
 0020   264  13.276   1.242   0.938
 0021   264  13.551   0.623   0.362
 0022   264  13.357   1.250   0.966
 0023   264  13.679   0.330   0.175
 0024   264  13.797   0.208  -0.014
 0025   264  13.800   0.497   0.204
 0026   264  13.958   0.929   0.442
 0027   264  13.976   1.058   0.607
 0028   264  14.216   0.244   0.116
 0029   264  14.079   0.991   0.511
 0030   264  14.388   1.019   0.086
 0031   264  14.215   1.194   0.783
 0032   264  14.356   1.027   0.461
 0033   264  14.383   1.129   0.530
 0034   264  14.668   0.808   0.004
 0035   264  14.685   0.750   0.115
 0036   264  14.688   0.530  -0.060
 0037   264  14.667   0.624   0.242
 0038   264  14.687   0.617   0.034
 0039   264  14.716   0.618  -0.078
 0040   264  14.720   0.494  -0.012
 0041   264  14.780   0.395   0.190
 0042   264  14.776   0.656   0.101
 0043   264  14.753   0.791   0.130
 0044   264  14.820   0.621   0.015
 0045   264  14.765   0.578   0.395
 0046   264  14.758   0.804   0.289
 0047   264  14.841   0.387   0.183
 0048   264  14.863   0.369   0.167
 0049   264  14.879   0.539   0.103
 0050   264  14.878   0.651   0.005
 0051   264  14.920   0.637  -0.031
 0052   264  14.938   0.581  -0.026
 0053   264  14.961   0.654   0.060
 0054   264  14.942   0.430   0.296
 0055   264  14.992   0.584   0.053
 0056   264  14.891   0.923   0.394
 0057   264  14.964   0.825   0.266
 0058   264  15.016   0.530   0.246
 0059   264  15.068   0.519   0.079
 0060   264  15.177   0.639  -0.011
 0061   264  15.176   0.613   0.051
 0062   264  15.243   0.634  -0.041
 0063   264  15.164   0.887   0.315
 0064   264  15.264   0.523   0.070
 0065   264  15.122   1.094   0.662
 0066   264  15.316   0.662   0.035
 0067   264  15.176   1.213   1.020
 0068   264  15.371   0.684   0.047
 0069   264  15.368   0.457   0.219
 0070   264  15.439   0.654  -0.058
 0071   264  17.684   4.210  73.928
 0072   264  15.477   0.656  -0.087
 0073   264  15.484   0.582   0.024
 0074   264  15.443   0.782   0.241
 0075   264  15.526   0.624   0.038
 0076   264  15.586   0.619  -0.041
 0077   264  15.587   0.627   0.023
 0078   264  15.613   0.748   0.106
 0079   264  15.691   0.616  -0.063
 0080   264  15.521   0.944   0.515
 0081   264  15.680   0.670  -0.007
 0082   264  15.636   0.742   0.125
 0083   264  15.677   0.666   0.007
 0084   264  15.621   0.807   0.246
 0085   264  15.612   0.908   0.340
 0086   264  15.693   0.743   0.170
 0087   264  15.646   0.816   0.275
 0088   264  15.790   1.602   1.072
 0089   264  15.677   0.927   0.558
 0090   264  15.799   0.675   0.049
 0091   264  15.783   0.758   0.084
 0092   264  15.664   1.206   1.053
 0093   264  15.843   0.575   0.039
 0094   264  15.477   1.555   1.186
 0095   264  15.881   0.628   0.119
 0096   264  15.877   0.706   0.077
 0097   264  15.911   0.679   0.082
 0098   264  15.924   0.716   0.008
 0099   264  15.903   0.816   0.166
 0100   264  15.971   0.922   0.151
 0101   264  15.969   0.841   0.330
 0102   264  15.930   0.891   0.490
 0103   264  16.010   0.793   0.170
 0104   264  16.039   0.655   0.191
 0105   264  16.078   0.675   0.058
 0106   264  16.073   0.758   0.236
 0107   264  16.155   0.618   0.027
 0108   264  16.085   0.804   0.213
 0109   264  16.136   0.795   0.116
 0110   264  16.180   0.714   0.114
 0111   264  16.166   0.745   0.128
 0112   264  16.151   0.902   0.308
 0113   264  16.203   0.736   0.079
 0114   264  16.121   1.185  78.348
 0115   264  16.257   0.704   0.082
 0116   264  16.266   0.793   0.118
 0117   264  16.473   1.082   0.324
 0118   264  16.310   0.860   0.153
 0119   264  16.300   0.858   0.283
 0120   264  16.361   0.741   0.006
 0121   264  16.356   0.703   0.047
        264  18.295   3.257  74.199
 0123   264  16.285   1.232   1.099
 0124   264  16.447   1.368   1.021
 0125   264  16.405   0.797   0.158
 0126   264  16.425   0.740   0.024
 0127   264  16.557   1.142   0.820
 0128   264  16.411   0.879   0.366
 0129   264  16.507   0.758   0.074
 0130   264  16.524   0.786  78.311
 0131   264  16.714   1.476   1.312
 0132   264  16.525   0.801   0.108
 0133   264  16.860   1.785   1.190
 0134   264  16.525   0.973   0.509
 0135   264  16.803   1.473  77.385
 0136   264  16.605   0.830   0.306
 0137   264  16.659   0.885   0.223
 0138   264  16.671   0.843   0.291
 0139   264  16.627   0.915   0.417
 0140   264  16.688   0.798   0.102
 0141   264  16.725   0.985   0.524
 0142   264  16.821   1.091   0.343
 0143   264  16.716   0.862   0.202
 0144   264  16.783   0.727   0.068
 0145   264  16.719   0.931   0.490
 0146   264  16.770   0.730   0.145
 0147   264  16.731   0.863   0.382
 0148   264  16.826   0.753  -0.010
 0149   264  16.830   0.794   0.125
 0150   264  18.339   2.826  74.558
 0151   264  18.088   2.317  75.289
 0152   264  16.895   0.879   0.252
 0153   264  16.894   0.911  77.818
 0154   264  16.909   0.753   0.026
 0155   264  16.925   1.145   1.132
 0156   264  16.917   0.881   0.291
 0157   264  17.962   2.534  75.215
 0158   264  17.065   1.240   0.679
 0159   264  16.923   0.880   0.424
 0160   264  16.991   0.829  -0.005
 0161   264  16.941   1.012   0.471
 0162   264  16.965   0.845   0.246
 0163   264  16.955   0.850   0.169
 0164   264  16.971   0.881   0.327
 0165   264  16.970   0.830   0.259
 0166   264  17.054   0.995   0.230
 0167   264  17.239   1.090   0.155
 0168   264  17.078   0.932   0.181
 0169   264  17.062   0.896   0.364
 0170   264  17.041   0.909   0.371
 0171   264  17.038   1.006   0.654
 0172   264  18.317   2.411  74.969
 0173   264  17.234   1.031   0.300
 0174   264  17.179   0.730  -0.176
 0175   264  17.103   0.930   0.384
 0176   264  18.002   1.985  75.687
 0177   264  17.203   1.131   1.079
 0178   264  17.443   1.439   0.915
 0179   264  17.448   1.525   1.072
 0180   264  17.292   1.069   0.192
 0181   264  17.246   0.839   0.114
 0182   264  17.230   0.770   0.123
 0183   264  17.268   0.915   0.060
 0184   264  17.238   0.976   0.515
 0185   264  17.249   1.045   0.620
 0186   264  17.253   0.881   0.324
 0187   264  17.276   0.828   0.022
 0188   264  17.288   1.079   0.929
 0189   264  18.312   2.265  75.111
        264  18.329   2.210  75.145
 0191   264  17.387   0.840   0.176
        264  21.428  81.636  -2.345
 0193   264  18.715   1.870  75.070
 0194   264  17.423   0.900   0.050
 0195   264  17.834   1.639  76.182
 0196   264  17.429   1.061   0.517
 0197   264  17.456   1.065   1.175
 0198   264  17.451   0.993   0.749
 0199   264  17.788   1.472   0.692
 0200   264  17.453   0.861   0.251
 0201   264  17.457   0.930   0.432
        264  17.969   1.574  76.106
        264  19.452   2.369  73.855
 0204   264  17.467   0.994   0.375
 0205   264  17.651   1.034   0.744
 0206   264  17.565   0.837   0.379
 0207   264  17.772   1.392  76.477
 0208   264  17.804   1.154   0.743
 0209   264  17.620   1.182   0.815
        264  21.795  81.237  -2.345
 0211   264  17.570   0.867   0.312
 0212   264  17.612   0.876   0.251
 0213   264  17.759   1.313   1.188
 0214   264  17.832   1.409   1.160
        264  17.948   1.546  76.153
 0216   264  17.640   0.861   0.055
 0217   264  17.819   1.178   0.531
 0218   264  17.917   1.242   0.744
 0219   264  18.394   1.837  75.428
 0220   264  17.690   1.067   0.540
 0221   264  17.806   1.300   1.195
 0222   264  17.741   1.060   0.371
 0223   264  17.752   0.937   0.391
 0224   264  17.769   1.103   0.899
 0225   264  18.339   1.488  75.810
 0226   264  17.762   0.970   0.710
 0227   264  17.807   0.895   0.245
        264  18.463   1.681  75.503
 0229   264  17.769   1.009   0.580
 0230   264  17.771   0.848   0.358
 0231   264  17.977   1.101  76.541
 0232   264  17.829   1.056  76.732
        264  19.157   2.787  73.762
 0234   264  18.003   1.258   1.003
 0235   264  18.035   1.107   0.844
 0236   264  18.222   1.360  76.049
 0237   264  17.886   0.917   0.355
        264  21.435  81.628  -2.345
 0239   264  17.963   0.912   0.271
 0240   264  17.922   0.967  76.722
 0241   264  18.391   1.463   0.431
 0242   264  17.970   1.079   0.545
 0243   264  18.862   1.969  74.828
 0244   264  18.150   1.161  76.309
 0245   264  18.089   1.407  76.140
 0246   264  17.957   1.029   0.475
 0247   264  18.005   1.017  76.591
 0248   264  18.051   1.190  76.382
 0249   264  18.067   1.208   0.542
 0250   264  18.026   1.023   0.504
 0251   264  18.916   2.074  74.675
 0252   264  18.222   1.242   0.348
 0253   264  18.285   1.514  75.841
 0254   264  18.066   0.924  -0.102
 0255   264  18.366   1.271   0.399
 0256   264  18.161   0.975   0.068
 0257   264  18.062   0.907   0.283
 0258   264  18.076   1.051   0.682
 0259   264  18.198   1.140   0.377
        264  94.682  79.001  73.562
 0261   264  18.120   1.064   0.559
 0262   264  18.312   1.142  -0.071
 0263   264  18.122   1.035   0.487
 0264   264  18.122   1.025   0.454
 0265   264  18.127   0.958   0.393
 0266   264  18.214   1.187   0.172
 0267   264  18.203   1.126   0.916
 0268   264  18.174   0.979   0.418
 0269   264  18.287   1.229   0.738
 0270   264  18.728   1.505  75.399
 0271   264  18.398   1.365  75.866
 0272   264  18.255   1.026  76.328
 0273   264  19.185   1.654  74.795
 0274   264  18.224   0.988   0.530
 0275   264  19.215   1.999  74.442
 0276   264  18.252   1.120   0.600
 0277   264  18.362   1.115  76.135
 0278   264  18.586   1.419  75.623
 0279   264  18.280   0.963   0.405
 0280   264  18.496   1.297  75.829
 0281   264  18.323   1.172  -0.774
 0282   264  18.324   1.063  76.224
 0283   264  18.520   1.347  75.758
 0284   264  18.845   1.413  75.366
 0285   264  18.420   1.142  76.052
