UBV CCD observations

  No    Ref    V       B-V     U-B

 0020   221  14.426   0.481   0.218
 0021   221  14.627   0.453   0.134
 0022   221  13.183   0.524   0.190
 0023   221  11.010   1.310   1.154
 0024   221  13.528   0.517   0.221
 0025   221  12.929   0.385   0.186
 0026   221  15.415   0.371   0.218
 0027   221  14.893   0.597   0.072
 0028   221  14.342   0.467   0.160
 0029   221  12.618   0.818   0.352
 0030   221  14.475   0.491   0.111
 0031   221  13.200   0.528   0.181
 0040   221  14.572   0.505   0.152
 0041   221  15.246   0.572   0.080
 0043   221  16.162   0.671  -0.001
 0044   221  14.551   0.474   0.126
 0045   221  14.261   1.755   1.404
 0046   221  13.872   0.450   0.201
 0054   221  15.083   0.671   0.059
 0055   221  13.884   0.444   0.141
 0056   221  13.225   1.103   0.637
 0057   221  14.358   0.484   0.134
 0058   221  16.288   0.743   0.004
 0059   221  12.640   0.750   0.165
 0060   221  10.246   1.072   0.732
 0061   221  10.859   0.446   0.088
 0062   221  11.782   0.259   0.083
 0082   221  14.975   1.143   0.896
 0084   221  13.313   1.106   0.589
 0086   221  14.807   0.729   0.018
 0087   221  13.806   1.148   0.675
 0106   221  13.682   0.415   0.118
 0107   221  11.679   1.091   0.679
 0108   221  15.122   0.500   0.049
 0109   221  13.869   0.438   0.150
 0110   221  12.763   0.956   0.477
 0111   221  14.113   0.413   0.146
 0112   221  14.517   0.538   0.017
 0113   221  13.948   0.504   0.041
 0114   221  11.661   1.908   0.887
 0115   221  15.527   0.772   0.127
 0116   221  15.342   0.778   0.015
 0117   221  14.830   0.416   0.060
 0118   221  13.033   0.882   0.492
 0119   221  15.345   0.542   0.081
 0120   221  15.620   0.581   0.014
 0121   221  12.800   1.025   0.723
 0122   221  15.798   0.524   0.073
 0123   221  14.064   0.463   0.118
 0124   221  13.534   0.483   0.130
 0125   221  14.903   0.486   0.135
 0126   221  15.014   0.574   0.029
 0127   221  12.005   1.262   1.060
 0128   221  15.530   0.664   0.043
 0129   221  15.103   0.518   0.081
 0130   221  12.687   1.099   0.742
 0131   221  15.075   0.536   0.065
 0132   221  14.671   0.509   0.088
 0133   221  15.553   0.627   0.108
 0134   221  15.934   0.615  -0.017
 0135   221  14.639   0.504   0.128
 0136   221  14.547   0.521   0.092
 0137   221  14.937   0.507   0.064
 0138   221  14.118   0.427   0.142
 0139   221  13.401   0.492   0.183
 0140   221  13.663   0.425   0.122
 0141   221  13.769   0.466   0.142
 0142   221  15.527   0.588   0.126
