UBV CCD observations

  No    Ref    V       B-V     U-B

 0019    32  14.972   0.865   0.531
 0023    32  15.580   1.020   0.580
 0060    32  12.964   0.687   0.341
 0061    32  12.941   0.624  -0.091
 0067    32  13.176   0.713   0.305
 0070    32  13.358   0.763   0.351
 0071    32  13.232   0.824   0.312
 0076    32  13.501   0.810   0.432
 0103    32  14.100   0.648   0.325
 0111    32  14.369   0.666   0.273
 0130    32  14.543   0.695   0.405
 0145    32  14.693   0.667   0.283
 0181    32  15.142   0.778   0.566
 0185    32  13.320   0.738   0.270
 0237    32  17.535   1.329  -0.363
 0238    32  16.593   1.946   0.641
 0239    32  17.892   1.307  -0.262
 0240    32  16.233   1.937  -0.031
 0241    32  15.587   1.654   1.174
 0242    32  17.542   1.260   0.350
 0243    32  16.471   0.847   0.655
 0244    32  13.924   0.716   0.385
 0245    32  15.087   0.691   0.422
 0246    32  17.708   1.587  -0.344
 0247    32  17.622   1.176  -0.252
 0248    32  16.838   1.695   0.019
 0249    32  16.921   0.982  -0.089
 0250    32  16.741   0.967   0.849
 0251    32  16.886   1.086   0.059
 0252    32  16.741   1.230   0.229
 0253    32  18.585   1.850   0.121
 0254    32  17.850   1.221  -0.297
 0255    32  16.641   1.076   0.603
 0256    32  18.395   1.460   0.719
 0257    32  18.004   1.495   0.654
 0258    32  18.565   1.325  -0.014
 0259    32  18.654   0.883   0.121
 0260    32  18.318   1.461  -0.475
 0261    32  19.004   2.586   0.033
 0262    32  17.935   1.061   0.419
 0263    32  16.822   1.221   0.434
 0264    32  17.171   1.268   0.350
 0265    32  17.191   1.388   0.468
 0266    32  19.014   2.480   0.355
 0267    32  17.680   1.171   0.229
 0269    32  16.989   0.987   0.314
 0271    32  16.014   1.115   0.420
 0272    32  16.602   1.938  -0.238
 0273    32  16.301   0.962   0.666
 0274    32  16.930   1.257   1.604
 0275    32  17.761   1.132   0.119
 0276    32  17.075   1.248   0.501
 0277    32  18.814   1.139   0.102
 0278    32  18.939   1.152  -0.096
 0279    32  18.266   1.534  -0.482
 0280    32  16.995   0.626   0.347
 0281    32  18.225   2.344   0.523
 0282    32  16.017   0.927   0.373
 0283    32  15.763   1.867   2.074
 0284    32  15.267   1.852   1.398
 0285    32  18.459   1.525   0.370
 0286    32  18.136   1.132  -0.358
 0287    32  19.016   1.249  -0.403
 0288    32  17.418   1.882  -0.504
 0289    32  16.723   1.138   0.311
 0290    32  18.381   1.381   0.232
 0291    32  17.478   1.571  -0.530
 0292    32  18.598   1.764   0.207
 0293    32  16.847   1.135   0.335
 0294    32  17.407   1.125   1.012
 0295    32  17.875   1.269   0.660
 0296    32  17.805   1.142   0.697
 0297    32  18.440   1.384   0.581
 0298    32  18.404   1.112  -0.176
 0299    32  17.675   1.198   0.418
 0300    32  17.788   1.472   0.718
 0301    32  17.202   1.104  -0.192
 0302    32  18.069   1.353  -0.395
 0303    32  17.747   1.059   1.683
 0304    32  16.284   1.652   0.546
 0305    32  17.734   1.297  -0.500
 0306    32  18.249   1.174   0.113
 0307    32  17.985   1.622   0.826
 0308    32  17.657   2.079  -0.241
 0309    32  18.048   1.105  -0.476
 0310    32  18.370   1.055  -0.304
 0311    32  18.025   1.186  -0.222
 0312    32  16.819   1.070   0.163
 0313    32  15.369   1.776   0.951
 0314    32  16.598   1.888   0.935
 0315    32  17.285   1.204  -0.042
 0316    32  16.911   1.338   0.731
 0317    32  16.022   2.129   1.529
 0318    32  17.942   1.363  -0.194
 0319    32  18.061   1.478  -0.311
 0320    32  16.543   1.905  -0.294
 0321    32  16.749   1.162   0.047
 0322    32  18.218   1.283   0.457
 1016    32  16.326   0.970   0.644
 1019    32  16.016   1.096   0.501
 1021    32  15.415   1.010   0.648
 1042    32  15.084   0.814   0.963
 1044    32  16.370   1.379   0.403
 1045    32  15.401   0.823   0.590
 1051    32  15.965   0.901   0.240
 1052    32  15.308   0.775   0.503
 1053    32  16.362   0.901   0.634
 1055    32  15.220   1.670   1.494
 1056    32  12.889   0.692   0.250
 1058    32  15.315   0.712   0.384
 1059    32  15.003   0.824   0.695
 1060    32  16.669   1.858   0.450
 1061    32  14.418   0.760   0.611
 1062    32  14.875   0.809   0.562
 1065    32  16.303   1.111   0.591
 1067    32  16.278   1.040   0.582
 1072    32  16.104   1.136   0.305
 1073    32  16.346   0.948   0.333
 1074    32  16.072   1.042   0.975
 1076    32  15.767   0.816   0.682
 1078    32  16.733   1.084   0.346
 1079    32  16.392   0.957   0.916
 1080    32  16.165   1.299   0.459
 1082    32  15.536   0.958   0.619
 1083    32  16.667   1.032   0.469
 1085    32  16.156   0.912   0.640
 1086    32  16.226   0.914   0.733
 1088    32  16.623   1.303  -0.071
 1089    32  14.933   1.634   1.449
 1090    32  15.637   0.771   0.634
 1091    32  16.147   0.870   0.572
 1092    32  15.711   0.679   0.506
 1093    32  15.781   1.037   0.515
