UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   556  14.977   1.118   1.219
 0002   556  20.503   1.064  -0.496
 0003   556  17.415  -1.838  -4.184
 0004   556  16.211   1.230   0.607
 0005   556  18.050   0.929   0.024
 0006   556  20.459   0.933   0.248
 0007   556  18.670   1.355   0.894
 0008   556  14.981   0.807   0.191
 0009   556  16.186   0.857   0.171
 0010   556  18.968   0.659   0.262
 0011   556  17.596   0.812   0.103
 0012   556  12.996   0.437  -5.261
 0013   556  19.896   0.913   0.057
 0014   556  14.470   0.818   0.332
 0015   556  18.221   0.851  -0.100
 0016   556  19.182   0.757  -0.002
 0017   556  19.076   0.894   0.444
 0018   556  15.117  -0.720  -4.193
 0019   556  18.559   0.683   0.006
 0020   556  18.524   0.674   0.250
 0021   556  19.695   0.901   0.204
 0022   556  13.129  -1.081  -1.394
 0023   556  19.550   1.022   0.073
 0024   556  11.579  -1.252  -0.900
 0025   556  15.315   4.728  -12.492
 0026   556  21.185   0.771  -0.767
 0027   556  18.756   0.622   0.261
 0028   556  18.930   0.696   0.021
 0029   556  18.349   0.680   0.041
 0030   556  15.579   0.572   0.151
 0031   556  19.190   0.966   0.436
 0032   556  18.914   0.994   0.280
 0033   556  11.407   3.377  -4.757
 0034   556  18.109  -2.404   1.042
 0035   556  19.296   0.882   0.022
 0036   556  18.229   0.745   0.078
 0037   556  22.662  -6.603   0.001
 0038   556  16.714   1.268   0.917
 0039   556  19.437   0.723   0.278
 0040   556  18.241   0.784   0.118
 0041   556  15.513   0.721   0.233
 0042   556  19.716   1.111   0.373
 0043   556  19.970   0.996   0.123
 0044   556  19.022   1.261   0.965
 0045   556  19.876   0.930   0.346
 0046   556  15.841   0.819   0.140
 0047   556  18.300   0.856   0.055
 0048   556  14.907   0.543  -2.287
 0049   556  15.841   0.789   0.103
 0050   556  19.048   1.130   0.793
 0051   556  19.709   1.031   0.045
 0052   556  19.524   0.811   0.093
 0053   556  18.592   1.005   0.293
 0054   556  16.202   0.684   0.051
 0055   556  17.281   1.090   0.802
 0056   556  18.718   0.768   0.062
