UBV CCD observations

  No    Ref    V       B-V     U-B

 0001    55   6.900   0.270  -0.670
 0001   135   7.260   0.250  -0.810
 0002    55   8.810   0.190  -0.790
 0002   135   8.760   0.240  -0.800
 0002   390   8.711   0.230  -0.817
 0003    55  10.440   0.510  -0.630
 0003   135  10.730   0.280  -0.650
 0003   390  10.731   0.229  -0.663
 0004    55  11.160   0.150  -0.620
 0004   135  11.040   0.260  -0.680
 0004   390  11.013   0.233  -0.685
 0005    55  11.370   0.210  -0.500
 0005   135  11.290   0.240  -0.500
 0005   390  11.290   0.293  -0.613
 0006    55  11.070   0.200  -0.610
 0006   135  11.130   0.110  -0.580
 0006   390  11.110   0.177  -0.723
 0007    55  11.240   0.430  -0.370
 0007   135  11.410   0.360  -0.480
 0007   390  11.403   0.312  -0.486
 0008    55   9.450   0.050  -0.780
 0008   135   9.290   0.150  -0.810
 0008   390   9.272   0.117  -0.818
 0009    55   9.730   0.320  -0.680
 0009   135   9.990   0.170  -0.830
 0009   390   9.895   0.137  -0.755
 0010    55  12.400   0.230  -0.420
 0010   135  12.460   0.220  -0.430
 0010   390  12.466   0.189  -0.426
 0011    55  13.100   0.250   0.310
 0011   135  12.860   0.550   0.460
 0011   348  12.830   0.510   0.300
 0011   390  12.830   0.528   0.593
 0012    55  12.600   0.230  -0.520
 0012   135  12.600   0.230  -0.480
 0012   390  12.576   0.188  -0.453
 0013    55  12.790  -0.020  -0.360
 0013   135  12.510   0.250  -0.400
 0013   390  12.507   0.204  -0.372
 0014    55  12.420   0.720   0.730
 0014   135  12.520   0.750   0.500
 0015    55  11.950   0.290  -0.090
 0015   135  11.850   0.410  -0.230
 0015   390  11.868   0.347  -0.147
 0016    55  13.450   0.250  -0.510
 0016   135  13.400   0.270  -0.260
 0016   348  13.420   0.260  -0.280
 0016   390  13.412   0.228  -0.222
 0017    55  12.600   0.160  -0.160
 0017   135  12.540   0.290  -0.290
 0017   348  12.550   0.250  -0.300
 0017   390  12.555   0.239  -0.245
 0018    55  11.860   0.290  -0.490
 0018   135  11.930   0.250  -0.550
 0018   390  11.906   0.260  -0.602
 0019    55  11.380   0.350  -0.190
 0019   135  11.710   0.310  -0.280
 0019   390  11.685   0.290  -0.246
 0020    55   9.650   0.200  -0.630
 0020   135   9.580   0.290  -0.730
 0020   390   9.554   0.295  -0.729
 0021    55  10.730   0.350  -0.550
 0021   135  10.780   0.350  -0.670
 0021   390  10.754   0.338  -0.689
 0022    55  12.210   0.310  -0.440
 0022   135  12.240   0.290  -0.490
 0022   348  12.230   0.340  -0.620
 0022   390  12.227   0.279  -0.490
 0024    55  12.070   0.250  -0.440
 0024   135  12.050   0.370  -0.500
 0024   348  12.090   0.370  -0.580
 0024   390  12.000   0.341  -0.515
 0025    55  13.260   0.050  -0.020
 0025   135  13.010   0.310  -0.100
 0025   348  13.000   0.280  -0.100
 0025   390  12.992   0.287  -0.024
 0026    55  12.050   0.200  -0.430
 0026   135  12.010   0.330  -0.520
 0026   390  11.974   0.319  -0.559
 0027    55  11.350   0.270  -0.550
 0027   135  11.250   0.220  -0.470
 0027   390  11.209   0.291  -0.553
 0028    55  12.560   0.440  -0.440
 0028   135  12.410   0.430  -0.490
 0028   348  12.390   0.410  -0.500
 0028   390  12.389   0.396  -0.488
 0029    55  11.850   0.450  -0.170
 0029   135  11.950   0.490  -0.340
 0029   348  11.910   0.450  -0.300
 0029   390  11.940   0.454  -0.311
 0030    55  10.100   0.470  -0.440
 0030   135  10.100   0.430  -0.410
 0031    55  12.340   0.300  -0.430
 0031   135  12.360   0.330  -0.460
 0031   348  12.380   0.350  -0.560
 0031   390  12.390   0.251  -0.397
 0032    55  12.070   0.320  -0.520
 0032   135  12.170   0.200  -0.540
 0032   348  12.170   0.200  -0.640
 0032   390  12.159   0.175  -0.545
 0035   135  11.600   1.070   0.820
 0036    55  11.280   1.130   1.520
 0036   135  11.260   1.320   1.030
 0037    55  10.000   0.310  -0.630
 0037   135   9.970   0.320  -0.660
 0038    55  12.390   0.270   0.290
 0039    55  10.200   0.240  -0.750
 0040    55  11.310   0.240  -0.590
 0041    55  10.900   0.230  -0.600
 0042    55  12.470   0.300  -0.250
 0047    55  10.810   0.390  -0.600
 0047   135  11.110   0.260  -0.570
 0048    55  13.040   0.540   0.340
 0048   135  13.380   0.460  -0.170
 0048   348  13.750   0.470  -0.040
 0049    55  13.340   0.270  -0.390
 0049   135  13.220   0.410  -0.360
 0049   348  13.250   0.400  -0.380
 0049   390  13.172   0.393  -0.342
 0051    55  12.510   0.260   0.110
 0052    55  13.670   0.080   0.260
 0053    55  13.450   0.150  -0.120
 0053   135  13.590   0.540  -0.350
 0053   348  13.520   0.530  -0.220
 0054    55  12.130   0.370  -0.400
 0054   135  12.210   0.390  -0.480
 0054   348  12.160   0.400  -0.560
 0055    55  13.610   0.430   0.610
 0055   135  13.360   0.760   0.420
 0055   348  13.150   0.770   0.460
 0057   348  15.480   0.570         
 0059    55  13.320  -0.080   0.150
 0060    55  13.490   0.710   0.440
 0060   135  13.700   0.400  -0.330
 0060   348  13.740   0.370  -0.400
 0060   390  13.660   0.418  -0.315
 0061    55  11.640   0.920   1.230
 0061   135  13.540   0.530  -0.380
 0061   348  13.580   0.490  -0.360
 0065    55  12.100   0.680  -0.720
 0066    55  12.250   0.220  -0.140
 0070   348  14.880   0.480   0.100
 0071   348  15.130   0.510   0.360
 0072   348  14.470   0.400   0.220
 0073   348  14.010   0.760   0.300
 0074   348  13.850   0.420   0.100
 0075   348  12.870   0.330  -0.220
 0076   348  13.390   0.600  -0.140
 0077   348  14.440   0.510   0.120
 0077   390  14.545   0.396   0.183
 0078   348  14.610   0.620   0.360
 0079   348  13.540   0.250  -0.260
 0080   348  14.140   0.320  -0.060
 0081   348  14.470   0.680   0.400
 0082   348  13.500   0.340  -0.260
 0083   348  14.470   0.610   0.160
 0084   348  14.860   0.460   0.200
 0085   348  14.530   0.580   0.320
 0086   348  12.890   0.230  -0.280
 0087   348  13.150   0.400  -0.260
 0088   348  13.150   0.340  -0.320
 0088   390  13.175   0.323  -0.310
 0089   348  14.200   0.820   0.360
 0089   390  14.316   0.669   0.599
 0090   348  12.920   0.330  -0.200
 0091   348  13.230   0.270  -0.260
 0092   348  13.280   0.240  -0.280
 0093   348  12.520   0.710   0.420
 0093   390  12.499   0.719   0.648
 0094   348  13.800   0.800   0.400
 0095   348  13.190   0.540   0.400
 0096   348  13.110   0.180  -0.260
 0097   348  14.670   0.540   0.200
 0098   348  14.970   0.480   0.120
 0099   348  13.930   0.550   0.160
 0100   348  14.630   0.350   0.040
 0101   348  13.350   0.450  -0.160
 0101   390  13.375   0.433  -0.089
 0102   348  16.040   0.650         
 0103   348  14.970   0.620         
 0104   348  16.150   0.940         
 0105   348  15.010   0.750         
 0106   348  15.970   0.720         
 0107   348  16.520   0.900         
 0108   348  16.150   1.320         
 0109   348  16.350   0.910         
 0110   348  16.970   1.480         
 0111   348  16.300   1.230         
 0112   348  16.480   0.890         
 0113   348  17.250   1.070         
 0114   348  17.130   0.950         
 0115   348  15.490   0.680         
 0116   348  15.330   1.310         
 0117   348  16.010   0.870         
 0118   348  15.890   0.670         
 0119   348  15.970   1.280         
 0120   348  16.680   1.440         
 0121   348  15.950   1.100         
 0121   390  15.953   1.038   0.440
 0122   348  16.800   0.830         
 0123   348  17.100   1.060         
 0123   390  16.898   0.942   0.317
 0124   348  17.030   1.150         
 0124   390  17.214   1.223   1.081
 0125   348  16.810   0.910         
 0126   348  17.280   0.900         
 0127   348  15.520   0.770         
 0128   348  17.280   1.210         
 0129   348  16.530   0.820         
 0130   348  16.250   0.860         
 0131   348  15.760   1.280         
 0132   348  16.630   1.460         
 0132   390  16.708   1.606   1.404
 0133   348  16.530   0.850         
 0134   348  17.400   0.990         
 0135   348  17.080   1.070         
 0136   348  15.830   0.740         
 0137   348  16.580   1.530         
 0138   348  15.820   0.900         
 0139   348  17.080   1.010         
 0140   348  15.750   0.610         
 0141   348  17.080   1.080         
 0142   348  16.020   0.720         
 0143   348  17.290   1.350         
 0144   348  15.940   0.670         
 0145   348  16.960   1.280         
 0146   348  15.490   1.200         
 0147   348  15.300   0.720         
 0148   348  15.850   0.850         
 0149   348  16.400   0.800         
 0150   348  16.040   0.760         
 0151   348  17.130   0.860         
 0152   348  17.190   0.930         
 0153   348  15.780   0.880         
 0154   348  14.480   1.520         
 0155   348  15.560   1.000         
 0156   348  15.800   1.240         
 0157   348  16.890   1.280         
 0158   348  17.470   1.370         
 0159   348  16.540   0.890         
 0160   348  15.600   0.960         
 0161   348  16.000   1.160         
 0162   348  15.770   0.690         
 0163   348  15.930   1.370         
 0164   348  17.320   0.900         
 0165   348  15.690   0.650         
 0166   348  16.330   0.970         
 0167   348  17.330   1.130         
 0168   348  15.740   0.620         
 0169   348  16.890   0.860         
 0170   348  15.630   0.700         
 0171   348  16.300   0.800         
 0172   348  16.170   1.010         
 0173   348  16.160   1.000         
 0174   348  16.500   0.760         
 0175   348  15.630   0.670         
 0176   348  16.650   0.870         
 0177   348  15.760   1.090         
 0178   348  15.620   0.690         
 0179   348  15.940   0.570         
 1017    55  12.160   0.370  -0.060
 1019    55  12.060   0.350   0.020
 1020    55  13.940           0.110
 1031    55  12.780   0.230  -0.580
 1032    55  13.190   0.330   0.990
 1053    55  10.140   0.100         
 1062    55  13.810   1.010  -0.470
 1062   135  13.900   0.620   0.010
 1066    55  14.280  -0.090  -0.060
 1073    55  13.200   0.330   0.650
 1073   135  13.190   0.610   0.040
 1073   348  13.220   0.540   0.140
 1074    55  13.550   0.350   0.530
 1074   348  13.580   0.460  -0.340
 1075    55  12.820   0.320   0.190
 1075   135  13.320   0.070   0.360
 1075   348  13.370   0.270  -0.040
 1081    55  14.770  -0.450  -0.710
 1081   135  13.880   0.350  -0.310
 1086    55  13.890   0.480   1.140
 1086   348  13.650   0.570   0.300
 1087    55  12.550   0.110  -0.070
 1087   135  13.370   0.470  -0.010
 1087   348  13.310   0.480   0.060
 1090    55  12.940   0.260  -0.080
 1091    55  10.440   0.510  -0.390
 1092    55  10.440   0.500  -0.400
 1092   135  11.020   0.410  -0.440
 1096    55  13.680   0.810   1.210
 1097    55  13.730   0.220  -0.580
 1098    55  13.330   0.470  -0.060
 1098   135  13.290   0.430  -0.000
 1098   348  13.330   0.370  -0.120
 1098   390  13.305   0.357   0.171
 1103    55  13.350   0.450   0.340
 1104    55  13.740   0.500  -0.200
 1104   135  13.640   0.360  -0.240
 1104   348  13.690   0.310  -0.240
 1104   390  13.665   0.299  -0.168
 1111    55  12.070   0.400  -0.020
 1111   135  13.200   0.340  -0.340
 1116    55  12.820   0.090   0.120
 1116   135  12.500   0.520  -0.010
 1116   348  12.440   0.580  -0.140
 1116   390  12.458   0.506   0.158
 1118    55  13.530   1.400  -1.600
 1119    55  12.260   0.310   0.010
 1119   135  12.880   0.180  -0.090
 1120    55  14.420   0.520  -0.280
 1120   135  14.770   0.400   0.040
 1120   348  14.760   0.430         
 1121    55  13.550   0.160  -0.030
 1121   135  13.510   0.320  -0.210
 1121   348  13.470   0.310  -0.160
 1124    55  13.900   1.210  -1.860
 1129    55  12.590   0.810   0.250
 1129   135  12.710   0.710   0.270
 1129   348  12.690   0.740   0.420
 1134    55  13.420   0.500  -0.870
 1134   135  13.890   0.500  -0.250
 1134   348  13.970   0.380  -0.080
 1139    55  13.090   0.670   0.280
 1139   135  13.270   0.690   0.270
 1139   348  13.290   0.650   0.320
 1139   390  13.247   0.647   0.402
 1141    55  13.280   0.250  -0.280
 1141   135  13.360   0.260  -0.330
 1141   348  13.360   0.210  -0.300
 1141   390  13.359   0.219  -0.295
 1142    55  13.750   0.190  -0.010
 1144    55  13.550   0.260   0.070
 1144   135  13.770   0.400  -0.250
 1144   348  13.660   0.390  -0.200
 1144   390  13.759   0.382  -0.212
 1147    55  12.230   0.420  -0.540
 1147   135  12.260   0.370  -0.500
 1152    55  10.890   0.090  -0.280
 1152   135  11.480   0.240  -0.690
 1158    55  13.640   0.520   0.660
 1162    55  13.940   0.460  -0.140
 1162   135  14.060   0.410  -0.200
 1162   348  14.060   0.440  -0.220
 1162   390  14.058   0.367  -0.088
 1166    55  12.660   0.430  -0.480
 1166   135  12.930   0.340  -0.430
 1166   348  12.890   0.360  -0.460
 1173    55  10.270   0.140  -4.330
 1173   135  12.730   0.230  -0.420
 1173   348  12.760   0.140  -0.480
 1176    55   8.700  -1.230  -0.280
 1186    55  10.520   0.780   1.090
 1187    55  12.000   0.130  -0.560
 1187   135  12.020   0.240  -0.600
 1187   390  11.976   0.220  -0.635
 1188    55  13.670   0.320  -0.190
 1188   135  13.760   0.330  -0.200
 1188   348  13.740   0.280  -0.140
 1188   390  13.762   0.293  -0.145
 1190    55  10.880   0.540  -0.250
 1195    55  10.960   0.400  -0.430
 1195   135  10.930   0.350  -0.430
 1195   390  10.926   0.349  -0.515
 1198    55  13.690   0.650   0.100
 1198   135  13.850   0.450   0.120
 1198   390  13.814   0.428   0.264
 1200    55  10.690   0.350  -0.580
 1200   135  10.680   0.310  -0.570
 1202    55  13.980   0.230   0.160
 1202   135  13.900   0.350  -0.200
 1202   390  13.910   0.329  -0.115
 1209    55  13.140   0.270  -0.140
 1209   135  13.220   0.280  -0.300
 1209   390  13.211   0.284  -0.245
 1210    55  12.150   0.670   0.130
 1210   135  12.180   0.650   0.320
 1210   390  12.187   0.613   0.266
 1211    55  12.670   0.290  -0.310
 1212    55  13.330   0.040  -0.360
 1212   135  13.080   0.300  -0.390
 1212   390  13.064   0.264  -0.380
 1213    55  13.520   0.520  -0.370
 1213   348  13.400   0.530   0.340
 1214    55  13.690   0.050  -0.010
 1214   135  13.390   0.320  -0.310
 1214   348  13.420   0.300  -0.260
 1214   390  13.389   0.300  -0.258
 1219    55  14.490   0.350  -1.230
 1219   348  14.120   0.460   0.140
 1224    55  11.140   0.230  -0.670
 1224   135  11.120   0.230  -0.630
 1224   390  11.130   0.168  -0.631
 1227    55  12.610   0.410   0.360
 1228    55  12.570   0.400   0.180
 1229    55   7.880   0.070  -0.680
 1229   135   7.820   0.160  -0.780
 1229   390   7.790   0.127  -0.816
 1233    55  13.220   0.160  -0.230
 1233   135  13.050   0.350  -0.370
 1233   390  13.037   0.315  -0.358
 1236    55  14.050   0.310  -0.050
 1236   135  14.120   0.320  -0.040
 1236   348  14.080   0.350  -0.020
 1236   390  14.132   0.311   0.084
 1238    55   7.870   0.090  -0.570
 1238   135   8.560   0.200  -0.750
 1238   390   8.549   0.159  -0.767
 1240    55  12.530   0.390  -0.360
 1246    55  12.900   0.260  -0.040
 1246   135  12.900   0.320  -0.250
 1246   390  12.950   0.269  -0.176
 1247    55  11.550   0.310  -0.270
 1247   135  11.600   0.330  -0.390
 1247   390  11.634   0.269  -0.347
 1248    55  13.740   0.210   0.180
 1248   135  13.560   0.320  -0.270
 1252    55  13.470   0.500  -1.250
 1252   348  13.460   0.310  -0.320
 1260    55  13.490   0.240  -0.120
 1260   135  13.560   0.230  -0.220
 1262    55  13.420   0.340   0.450
 1268    55  12.590   0.270  -0.450
 1268   135  12.660   0.210  -0.440
 1271    55  13.730   0.020   0.060
 1271   135  14.100   0.280  -0.120
 1271   348  14.010   0.340  -0.120
